Sample_ID,Label,Value_R,Value_C,Magnitude_0,Magnitude_1,Magnitude_2,Magnitude_3,Magnitude_4,Magnitude_5,Magnitude_6,Magnitude_7,Magnitude_8,Magnitude_9,Magnitude_10,Magnitude_11,Magnitude_12,Magnitude_13,Magnitude_14,Phase_0,Phase_1,Phase_2,Phase_3,Phase_4,Phase_5,Phase_6,Phase_7,Phase_8,Phase_9,Phase_10,Phase_11,Phase_12,Phase_13,Phase_14
1,nothing,0.0,0.0,139435.593,170791.421,176258.484,135388.687,215221.218,196589.843,171606.546,170654.515,208725.359,196887.93,177338.89,214331.953,208354.593,172625.78,177898.859,-147.19,-105.27,-169.836,169.689,176.168,175.297,-163.614,-171.446,-163.435,-158.626,-168.84,-157.76,-161.634,-160.782,-152.673
2,nothing,0.0,0.0,1171894.875,163993.812,1542996.75,441958.31,333872.593,700793.187,621979.125,924595.62,666351.437,940958.562,640559.125,475445.62,750220.125,500164.156,594281.5,98.622,-45.572,130.869,-108.93,47.278,-26.154,18.43,78.518,51.747,9.166,43.648,39.437,20.472,19.448,24.981
3,nothing,0.0,0.0,360081.312,183087.625,680353.562,378817.0,374421.812,535006.375,1067465.125,1662876.375,688641.375,632352.687,607430.187,922311.812,586664.875,1816598.0,541768.875,111.504,68.857,86.358,-36.914,-11.968,-26.31,-110.969,93.626,70.853,-12.3,81.7,14.597,9.51,16.307,-18.706
4,nothing,0.0,0.0,331647.343,191307.578,834786.5,354133.187,404361.75,487509.406,870170.62,2559029.75,756061.5,570227.5,615154.75,828261.62,626198.5,2106038.0,492581.687,112.469,67.306,86.893,-35.581,-8.928,-23.742,-101.964,79.179,78.23,-16.494,87.193,23.3,4.2,-3.43,-15.823
5,nothing,0.0,0.0,207994.593,159652.218,1089567.25,305106.218,486771.343,875787.562,3861329.25,2633703.0,732507.812,1334790.25,7477512.0,671082.5,550845.62,904733.687,922802.187,-8.937,55.911,-123.672,-145.468,-19.48,-16.32,138.53,-8.71,37.952,175.1,-29.863,-40.171,-44.318,-37.201,78.42
6,nothing,0.0,0.0,234541.656,179421.75,653856.812,495337.25,881583.25,1390854.0,3259276.0,868650.687,585840.875,1445149.125,841395.75,778510.937,553553.437,2604215.5,545946.625,-124.865,40.127,-67.854,39.288,-39.216,-54.14,-79.1,61.553,44.136,-16.815,88.25,18.617,-10.971,-38.529,29.643
7,nothing,0.0,0.0,228112.15,180500.703,687005.125,448760.25,966513.687,1664943.0,2605786.75,1002831.75,586980.562,1266511.0,951877.0,715684.187,529718.687,2554165.75,569537.0,-124.238,39.725,-68.197,41.139,-33.27,-56.422,-76.439,66.1,39.847,-24.48,89.235,20.445,-13.364,-21.439,26.473
8,nothing,0.0,0.0,223549.93,132193.39,140048.828,144088.968,301735.875,181986.812,198159.468,184036.484,201396.781,248483.187,220989.39,196682.14,197215.781,166912.515,234708.687,-147.547,-118.446,157.591,-172.12,177.39,178.561,174.17,172.489,168.36,178.614,169.134,157.946,167.22,155.57,159.268
9,nothing,0.0,0.0,163443.625,216929.78,136668.171,182037.437,181127.0,226317.859,160250.937,165783.718,189722.484,227288.671,174563.656,186192.859,177838.828,182949.968,216918.718,-170.47,-89.302,179.6,-142.792,176.85,-171.205,-174.375,-168.614,-164.907,-158.866,-165.817,-161.659,-158.893,-161.403,-150.4
10,nothing,0.0,0.0,437305.5,171982.765,636692.312,286776.312,759077.187,506747.312,779436.687,1275530.625,664447.625,2345740.0,2599780.75,861288.687,329686.218,829357.937,1667289.125,53.168,36.208,17.715,-84.63,-45.632,-67.796,-176.785,51.739,63.45,121.53,75.586,-81.216,-17.17,-41.609,-47.593
11,nothing,0.0,0.0,433844.406,174619.171,697797.375,280958.75,818109.625,502376.406,692640.437,1474207.625,616426.75,1899803.125,2196030.75,805099.75,328089.843,811250.625,2134367.25,51.943,36.56,21.91,-82.895,-40.911,-69.8,-175.298,57.539,64.162,130.361,60.982,-80.9,-14.877,-36.28,-50.5
