Index,Magnitude,Phase,AccMagnitude,AccPhase,Label,Value_R,Value_C
0,1319.87,-9.99,1319.87,-9.99,Parallel_RC,1300.0,22.0
1,1294.119,-14.635,1294.119,-14.635,Parallel_RC,1300.0,22.0
2,1268.734,-18.183,1268.734,-18.183,Parallel_RC,1300.0,22.0
3,1212.473,-23.352,1212.473,-23.352,Parallel_RC,1300.0,22.0
4,1182.998,-27.894,1182.998,-27.894,Parallel_RC,1300.0,22.0
5,1131.183,-30.24,1131.183,-30.24,Parallel_RC,1300.0,22.0
6,1086.65,-34.44,1086.65,-34.44,Parallel_RC,1300.0,22.0
7,1040.89,-38.254,1040.89,-38.254,Parallel_RC,1300.0,22.0
8,991.687,-40.35,991.687,-40.35,Parallel_RC,1300.0,22.0
9,933.708,-42.919,933.708,-42.919,Parallel_RC,1300.0,22.0
10,865.305,-47.282,865.305,-47.282,Parallel_RC,1300.0,22.0
11,834.362,-49.342,834.362,-49.342,Parallel_RC,1300.0,22.0
12,781.549,-52.776,781.549,-52.776,Parallel_RC,1300.0,22.0
13,715.764,-55.556,715.764,-55.556,Parallel_RC,1300.0,22.0
14,653.156,-57.884,653.156,-57.884,Parallel_RC,1300.0,22.0
0,1347.6,-10.792,1319.116,-9.991,Parallel_RC,1300.0,22.0
1,1319.783,-15.293,1294.145,-14.635,Parallel_RC,1300.0,22.0
2,1287.797,-19.5,1268.753,-18.185,Parallel_RC,1300.0,22.0
3,1239.68,-24.356,1212.5,-23.353,Parallel_RC,1300.0,22.0
4,1186.79,-28.684,1183.1,-27.895,Parallel_RC,1300.0,22.0
5,1148.882,-31.803,1131.201,-30.241,Parallel_RC,1300.0,22.0
6,1122.511,-35.452,1086.686,-34.46,Parallel_RC,1300.0,22.0
7,1065.9,-38.69,1040.914,-38.254,Parallel_RC,1300.0,22.0
8,1017.461,-41.89,991.713,-40.351,Parallel_RC,1300.0,22.0
9,961.92,-44.73,933.735,-42.92,Parallel_RC,1300.0,22.0
10,885.801,-49.81,865.325,-47.284,Parallel_RC,1300.0,22.0
11,848.8,-50.776,834.376,-49.344,Parallel_RC,1300.0,22.0
