Index,Magnitude,Phase,AccMagnitude,AccPhase,Label,Value_R,Value_C
0,1956.498,-50.512,1956.498,-50.512,Parallel_RC,3000.0,68.0
1,1471.221,-59.968,1471.221,-59.968,Parallel_RC,3000.0,68.0
2,1178.296,-65.781,1178.296,-65.781,Parallel_RC,3000.0,68.0
3,973.425,-70.632,973.425,-70.632,Parallel_RC,3000.0,68.0
4,823.801,-73.695,823.801,-73.695,Parallel_RC,3000.0,68.0
5,709.553,-74.692,709.553,-74.692,Parallel_RC,3000.0,68.0
6,629.926,-76.548,629.926,-76.548,Parallel_RC,3000.0,68.0
7,560.727,-78.15,560.727,-78.15,Parallel_RC,3000.0,68.0
8,506.58,-78.774,506.58,-78.774,Parallel_RC,3000.0,68.0
9,453.707,-80.267,453.707,-80.267,Parallel_RC,3000.0,68.0
10,391.795,-81.4,391.795,-81.4,Parallel_RC,3000.0,68.0
11,364.461,-81.131,364.461,-81.131,Parallel_RC,3000.0,68.0
12,326.583,-81.24,326.583,-81.24,Parallel_RC,3000.0,68.0
13,283.444,-81.683,283.444,-81.683,Parallel_RC,3000.0,68.0
14,254.74,-81.997,254.74,-81.997,Parallel_RC,3000.0,68.0
0,1995.543,-50.988,1956.537,-50.512,Parallel_RC,3000.0,68.0
1,1485.668,-60.846,1471.235,-59.969,Parallel_RC,3000.0,68.0
2,1203.412,-67.999,1178.322,-65.783,Parallel_RC,3000.0,68.0
3,972.249,-72.128,973.424,-70.633,Parallel_RC,3000.0,68.0
4,834.772,-75.154,823.812,-73.697,Parallel_RC,3000.0,68.0
5,714.434,-77.8,709.558,-74.695,Parallel_RC,3000.0,68.0
6,650.327,-78.407,629.947,-76.55,Parallel_RC,3000.0,68.0
7,576.677,-80.222,560.742,-78.153,Parallel_RC,3000.0,68.0
8,516.436,-80.916,506.59,-78.776,Parallel_RC,3000.0,68.0
9,468.332,-82.208,453.722,-80.269,Parallel_RC,3000.0,68.0
10,398.885,-83.41,391.802,-81.6,Parallel_RC,3000.0,68.0
11,371.115,-83.736,364.468,-81.134,Parallel_RC,3000.0,68.0
12,324.832,-84.337,326.581,-81.243,Parallel_RC,3000.0,68.0
13,288.945,-85.424,283.449,-81.687,Parallel_RC,3000.0,68.0
14,259.797,-85.803,254.8,-82.1,Parallel_RC,3000.0,68.0
0,1802.767,-55.955,1956.383,-50.518,Parallel_RC,3000.0,68.0
1,1512.366,-69.657,1471.276,-59.979,Parallel_RC,3000.0,68.0
2,1214.523,-67.259,1178.358,-65.785,Parallel_RC,3000.0,68.0
3,916.73,-77.923,973.367,-70.64,Parallel_RC,3000.0,68.0
4,815.37,-83.304,823.804,-73.706,Parallel_RC,3000.0,68.0
5,723.479,-88.79,709.572,-74.709,Parallel_RC,3000.0,68.0
6,659.965,-89.335,629.977,-76.563,Parallel_RC,3000.0,68.0
7,577.969,-91.829,560.76,-78.166,Parallel_RC,3000.0,68.0
8,553.123,-93.772,506.636,-78.791,Parallel_RC,3000.0,68.0
9,523.26,-87.852,453.791,-80.276,Parallel_RC,3000.0,68.0
10,383.755,-100.733,391.794,-81.25,Parallel_RC,3000.0,68.0
11,408.473,-101.47,364.512,-81.154,Parallel_RC,3000.0,68.0
12,311.933,-107.992,326.567,-81.27,Parallel_RC,3000.0,68.0
13,328.631,-114.122,283.494,-81.719,Parallel_RC,3000.0,68.0
14,258.373,-114.203,254.84,-82.33,Parallel_RC,3000.0,68.0
0,1944.61,-50.29,1956.371,-50.517,Parallel_RC,3000.0,68.0
1,1469.608,-59.994,1471.275,-59.979,Parallel_RC,3000.0,68.0
2,1185.573,-66.82,1178.365,-65.785,Parallel_RC,3000.0,68.0
3,957.907,-70.742,973.351,-70.641,Parallel_RC,3000.0,68.0
4,826.755,-73.44,823.807,-73.706,Parallel_RC,3000.0,68.0
5,708.924,-74.82,709.571,-74.709,Parallel_RC,3000.0,68.0
6,631.731,-76.514,629.979,-76.562,Parallel_RC,3000.0,68.0
7,564.191,-78.264,560.763,-78.166,Parallel_RC,3000.0,68.0
8,509.56,-78.892,506.639,-78.791,Parallel_RC,3000.0,68.0
9,453.551,-80.37,453.791,-80.276,Parallel_RC,3000.0,68.0
10,392.96,-81.1,391.794,-81.25,Parallel_RC,3000.0,68.0
11,366.6,-81.65,364.514,-81.154,Parallel_RC,3000.0,68.0
12,325.221,-81.888,326.565,-81.27,Parallel_RC,3000.0,68.0
13,286.489,-81.385,283.497,-81.719,Parallel_RC,3000.0,68.0
14,254.637,-81.795,254.84,-82.33,Parallel_RC,3000.0,68.0
0,1959.441,-50.109,1956.374,-50.517,Parallel_RC,3000.0,68.0
1,1498.801,-60.795,1471.302,-59.979,Parallel_RC,3000.0,68.0
2,1197.336,-65.97,1178.384,-65.784,Parallel_RC,3000.0,68.0
3,956.662,-69.9,973.334,-70.64,Parallel_RC,3000.0,68.0
4,824.544,-72.464,823.807,-73.705,Parallel_RC,3000.0,68.0
5,704.506,-73.139,709.566,-74.707,Parallel_RC,3000.0,68.0
6,638.5,-75.943,629.987,-76.562,Parallel_RC,3000.0,68.0
7,555.883,-76.788,560.758,-78.165,Parallel_RC,3000.0,68.0
8,520.25,-76.905,506.652,-78.789,Parallel_RC,3000.0,68.0
9,452.464,-77.71,453.79,-80.273,Parallel_RC,3000.0,68.0
10,375.7,-78.589,391.777,-81.23,Parallel_RC,3000.0,68.0
11,379.603,-78.395,364.529,-81.151,Parallel_RC,3000.0,68.0
12,323.567,-77.459,326.562,-81.266,Parallel_RC,3000.0,68.0
13,290.758,-79.29,283.505,-81.716,Parallel_RC,3000.0,68.0
14,256.673,-79.43,254.87,-82.3,Parallel_RC,3000.0,68.0
0,2103.838,-56.824,1956.522,-50.523,Parallel_RC,3000.0,68.0
1,1578.427,-63.77,1471.409,-59.983,Parallel_RC,3000.0,68.0
2,1235.379,-78.126,1178.441,-65.797,Parallel_RC,3000.0,68.0
3,985.968,-73.654,973.347,-70.643,Parallel_RC,3000.0,68.0
4,803.494,-79.548,823.787,-73.711,Parallel_RC,3000.0,68.0
5,732.963,-84.657,709.59,-74.717,Parallel_RC,3000.0,68.0
6,786.643,-94.256,630.143,-76.58,Parallel_RC,3000.0,68.0
7,500.669,-97.408,560.698,-78.184,Parallel_RC,3000.0,68.0
8,524.621,-97.369,506.67,-78.808,Parallel_RC,3000.0,68.0
9,512.111,-97.155,453.848,-80.29,Parallel_RC,3000.0,68.0
10,379.903,-113.43,391.766,-81.55,Parallel_RC,3000.0,68.0
11,371.906,-115.184,364.536,-81.185,Parallel_RC,3000.0,68.0
12,324.203,-109.17,326.56,-81.294,Parallel_RC,3000.0,68.0
13,300.48,-113.339,283.521,-81.748,Parallel_RC,3000.0,68.0
14,307.625,-119.282,254.141,-82.67,Parallel_RC,3000.0,68.0
0,2036.687,-63.64,1956.602,-50.536,Parallel_RC,3000.0,68.0
1,1364.712,-69.88,1471.303,-59.993,Parallel_RC,3000.0,68.0
2,1233.676,-79.558,1178.496,-65.81,Parallel_RC,3000.0,68.0
3,1060.904,-86.606,973.435,-70.659,Parallel_RC,3000.0,68.0
4,793.829,-86.568,823.757,-73.723,Parallel_RC,3000.0,68.0
5,769.964,-88.1,709.65,-74.731,Parallel_RC,3000.0,68.0
6,618.633,-84.789,630.132,-76.588,Parallel_RC,3000.0,68.0
7,669.115,-83.31,560.807,-78.189,Parallel_RC,3000.0,68.0
8,455.226,-105.78,506.619,-78.834,Parallel_RC,3000.0,68.0
9,455.934,-106.2,453.85,-80.315,Parallel_RC,3000.0,68.0
10,454.839,-99.952,391.829,-81.74,Parallel_RC,3000.0,68.0
11,333.923,-104.717,364.505,-81.209,Parallel_RC,3000.0,68.0
12,368.325,-107.458,326.602,-81.32,Parallel_RC,3000.0,68.0
13,287.971,-111.271,283.526,-81.777,Parallel_RC,3000.0,68.0
14,335.17,-116.806,254.221,-82.102,Parallel_RC,3000.0,68.0
0,1883.372,-63.463,1956.529,-50.549,Parallel_RC,3000.0,68.0
1,1325.438,-65.345,1471.157,-59.998,Parallel_RC,3000.0,68.0
2,1129.848,-77.545,1178.447,-65.822,Parallel_RC,3000.0,68.0
3,981.218,-82.69,973.442,-70.671,Parallel_RC,3000.0,68.0
4,870.779,-83.734,823.804,-73.734,Parallel_RC,3000.0,68.0
5,738.873,-94.742,709.679,-74.751,Parallel_RC,3000.0,68.0
6,698.13,-83.228,630.2,-76.594,Parallel_RC,3000.0,68.0
7,746.939,-78.871,560.993,-78.19,Parallel_RC,3000.0,68.0
8,388.717,-108.522,506.501,-78.864,Parallel_RC,3000.0,68.0
9,403.411,-98.479,453.8,-80.334,Parallel_RC,3000.0,68.0
10,531.787,-95.405,391.969,-81.89,Parallel_RC,3000.0,68.0
11,266.761,-102.764,364.408,-81.23,Parallel_RC,3000.0,68.0
12,355.411,-94.481,326.63,-81.333,Parallel_RC,3000.0,68.0
13,221.342,-117.601,283.463,-81.813,Parallel_RC,3000.0,68.0
14,245.177,-118.834,254.212,-82.139,Parallel_RC,3000.0,68.0
0,1898.397,-55.4,1956.47,-50.554,Parallel_RC,3000.0,68.0
1,1441.201,-74.676,1471.127,-60.13,Parallel_RC,3000.0,68.0
2,1224.293,-76.319,1178.493,-65.833,Parallel_RC,3000.0,68.0
3,917.832,-90.168,973.387,-70.69,Parallel_RC,3000.0,68.0
4,824.439,-99.456,823.805,-73.759,Parallel_RC,3000.0,68.0
5,724.962,-104.789,709.695,-74.781,Parallel_RC,3000.0,68.0
6,581.425,-106.85,630.151,-76.625,Parallel_RC,3000.0,68.0
7,628.497,-105.713,561.6,-78.218,Parallel_RC,3000.0,68.0
8,575.79,-113.567,506.57,-78.898,Parallel_RC,3000.0,68.0
9,473.711,-109.235,453.82,-80.362,Parallel_RC,3000.0,68.0
10,431.21,-131.525,392.8,-81.139,Parallel_RC,3000.0,68.0
11,342.18,-136.772,364.385,-81.286,Parallel_RC,3000.0,68.0
12,290.652,-126.434,326.594,-81.379,Parallel_RC,3000.0,68.0
13,229.41,-143.339,283.409,-81.875,Parallel_RC,3000.0,68.0
14,227.346,-137.877,254.186,-82.194,Parallel_RC,3000.0,68.0
0,1966.141,-50.965,1956.48,-50.554,Parallel_RC,3000.0,68.0
1,1482.793,-61.559,1471.138,-60.15,Parallel_RC,3000.0,68.0
2,1183.796,-66.511,1178.499,-65.833,Parallel_RC,3000.0,68.0
3,961.342,-70.735,973.375,-70.69,Parallel_RC,3000.0,68.0
4,813.261,-74.733,823.794,-73.76,Parallel_RC,3000.0,68.0
5,703.114,-75.722,709.688,-74.782,Parallel_RC,3000.0,68.0
6,630.507,-77.605,630.151,-76.626,Parallel_RC,3000.0,68.0
7,561.682,-79.302,561.61,-78.219,Parallel_RC,3000.0,68.0
8,504.765,-80.63,506.568,-78.899,Parallel_RC,3000.0,68.0
9,455.286,-81.565,453.821,-80.364,Parallel_RC,3000.0,68.0
10,393.24,-82.936,392.9,-81.141,Parallel_RC,3000.0,68.0
11,364.184,-82.982,364.385,-81.287,Parallel_RC,3000.0,68.0
12,324.982,-83.116,326.593,-81.38,Parallel_RC,3000.0,68.0
13,286.804,-82.915,283.412,-81.876,Parallel_RC,3000.0,68.0
14,252.299,-84.572,254.184,-82.197,Parallel_RC,3000.0,68.0
0,2028.91,-46.44,1956.552,-50.55,Parallel_RC,3000.0,68.0
1,1649.957,-56.86,1471.317,-60.11,Parallel_RC,3000.0,68.0
2,1066.111,-68.757,1178.386,-65.836,Parallel_RC,3000.0,68.0
3,953.737,-83.114,973.355,-70.703,Parallel_RC,3000.0,68.0
