Index,Magnitude,Phase,AccMagnitude,AccPhase,Label,Value_R,Value_C
0,766.389,-6.843,766.389,-6.843,Parallel_RC,750.0,33.0
1,765.951,-9.958,765.951,-9.958,Parallel_RC,750.0,33.0
2,753.47,-13.124,753.47,-13.124,Parallel_RC,750.0,33.0
3,735.766,-17.417,735.766,-17.417,Parallel_RC,750.0,33.0
4,726.931,-21.261,726.931,-21.261,Parallel_RC,750.0,33.0
5,704.215,-22.987,704.215,-22.987,Parallel_RC,750.0,33.0
6,689.397,-26.113,689.397,-26.113,Parallel_RC,750.0,33.0
7,670.265,-29.153,670.265,-29.153,Parallel_RC,750.0,33.0
8,647.772,-31.272,647.772,-31.272,Parallel_RC,750.0,33.0
9,623.182,-33.986,623.182,-33.986,Parallel_RC,750.0,33.0
10,590.573,-38.444,590.573,-38.444,Parallel_RC,750.0,33.0
11,574.483,-40.42,574.483,-40.42,Parallel_RC,750.0,33.0
12,544.181,-44.18,544.181,-44.18,Parallel_RC,750.0,33.0
13,507.538,-46.618,507.538,-46.618,Parallel_RC,750.0,33.0
14,472.939,-49.257,472.939,-49.257,Parallel_RC,750.0,33.0
0,769.662,-7.719,766.393,-6.843,Parallel_RC,750.0,33.0
1,754.333,-10.692,765.939,-9.958,Parallel_RC,750.0,33.0
2,752.779,-14.651,753.469,-13.126,Parallel_RC,750.0,33.0
3,732.115,-18.551,735.763,-17.418,Parallel_RC,750.0,33.0
4,724.6,-21.345,726.928,-21.261,Parallel_RC,750.0,33.0
5,705.625,-24.534,704.217,-22.989,Parallel_RC,750.0,33.0
6,689.713,-27.188,689.397,-26.114,Parallel_RC,750.0,33.0
7,672.434,-30.1,670.267,-29.154,Parallel_RC,750.0,33.0
8,650.963,-32.531,647.775,-31.274,Parallel_RC,750.0,33.0
9,628.574,-35.469,623.187,-33.988,Parallel_RC,750.0,33.0
10,593.286,-39.903,590.576,-38.445,Parallel_RC,750.0,33.0
11,572.791,-41.887,574.481,-40.44,Parallel_RC,750.0,33.0
12,538.11,-45.479,544.174,-44.2,Parallel_RC,750.0,33.0
13,503.824,-48.853,507.534,-46.62,Parallel_RC,750.0,33.0
14,472.231,-51.527,472.938,-49.259,Parallel_RC,750.0,33.0
0,761.796,-7.236,766.388,-6.844,Parallel_RC,750.0,33.0
1,767.867,-10.344,765.941,-9.959,Parallel_RC,750.0,33.0
2,752.356,-13.787,753.468,-13.126,Parallel_RC,750.0,33.0
3,729.922,-17.782,735.757,-17.418,Parallel_RC,750.0,33.0
4,719.937,-21.592,726.921,-21.262,Parallel_RC,750.0,33.0
5,706.115,-23.55,704.219,-22.989,Parallel_RC,750.0,33.0
6,686.157,-26.826,689.394,-26.115,Parallel_RC,750.0,33.0
7,666.36,-29.876,670.262,-29.154,Parallel_RC,750.0,33.0
8,649.278,-32.2,647.777,-31.275,Parallel_RC,750.0,33.0
9,623.44,-34.774,623.187,-33.989,Parallel_RC,750.0,33.0
10,591.638,-39.26,590.577,-38.446,Parallel_RC,750.0,33.0
11,574.15,-41.402,574.48,-40.46,Parallel_RC,750.0,33.0
12,539.476,-44.943,544.17,-44.21,Parallel_RC,750.0,33.0
13,507.79,-48.2,507.533,-46.622,Parallel_RC,750.0,33.0
14,476.332,-50.709,472.941,-49.26,Parallel_RC,750.0,33.0
0,769.965,-7.481,766.392,-6.844,Parallel_RC,750.0,33.0
1,755.326,-10.982,765.93,-9.96,Parallel_RC,750.0,33.0
2,752.166,-13.445,753.467,-13.127,Parallel_RC,750.0,33.0
3,730.428,-17.153,735.752,-17.418,Parallel_RC,750.0,33.0
4,720.854,-21.6,726.915,-21.261,Parallel_RC,750.0,33.0
5,704.961,-23.194,704.219,-22.989,Parallel_RC,750.0,33.0
6,688.733,-26.1,689.393,-26.115,Parallel_RC,750.0,33.0
7,670.868,-29.263,670.263,-29.155,Parallel_RC,750.0,33.0
8,646.759,-31.407,647.776,-31.275,Parallel_RC,750.0,33.0
9,626.452,-33.834,623.191,-33.988,Parallel_RC,750.0,33.0
10,593.596,-38.349,590.58,-38.446,Parallel_RC,750.0,33.0
11,572.397,-40.221,574.478,-40.46,Parallel_RC,750.0,33.0
12,544.531,-43.738,544.17,-44.21,Parallel_RC,750.0,33.0
13,509.451,-46.552,507.535,-46.622,Parallel_RC,750.0,33.0
14,472.38,-49.622,472.941,-49.261,Parallel_RC,750.0,33.0
0,769.524,-7.742,766.395,-6.845,Parallel_RC,750.0,33.0
1,762.901,-10.767,765.927,-9.961,Parallel_RC,750.0,33.0
2,750.482,-14.878,753.464,-13.128,Parallel_RC,750.0,33.0
3,730.907,-18.53,735.747,-17.419,Parallel_RC,750.0,33.0
4,722.941,-21.839,726.911,-21.262,Parallel_RC,750.0,33.0
5,704.691,-24.392,704.22,-22.991,Parallel_RC,750.0,33.0
6,694.205,-27.592,689.398,-26.116,Parallel_RC,750.0,33.0
7,672.67,-30.443,670.265,-29.156,Parallel_RC,750.0,33.0
8,652.357,-32.743,647.78,-31.276,Parallel_RC,750.0,33.0
9,624.825,-35.441,623.192,-33.99,Parallel_RC,750.0,33.0
10,594.587,-40.176,590.584,-38.448,Parallel_RC,750.0,33.0
11,572.778,-42.298,574.477,-40.48,Parallel_RC,750.0,33.0
12,535.453,-45.796,544.161,-44.22,Parallel_RC,750.0,33.0
13,506.328,-49.442,507.534,-46.625,Parallel_RC,750.0,33.0
14,470.169,-51.974,472.938,-49.264,Parallel_RC,750.0,33.0
0,770.594,-7.54,766.399,-6.846,Parallel_RC,750.0,33.0
1,754.278,-10.871,765.916,-9.962,Parallel_RC,750.0,33.0
2,755.602,-14.197,753.466,-13.129,Parallel_RC,750.0,33.0
3,736.2,-17.919,735.747,-17.419,Parallel_RC,750.0,33.0
