Index,Magnitude,Phase,AccMagnitude,AccPhase,Label,Value_R,Value_C
0,17683.978,-97.313,17683.978,-97.313,Capacitor,0.0,10.0
1,11174.865,-90.975,11174.865,-90.975,Capacitor,0.0,10.0
2,8812.989,-92.185,8812.989,-92.185,Capacitor,0.0,10.0
3,7284.963,-92.265,7284.963,-92.265,Capacitor,0.0,10.0
4,6018.932,-92.32,6018.932,-92.32,Capacitor,0.0,10.0
5,5143.494,-91.317,5143.494,-91.317,Capacitor,0.0,10.0
6,4548.951,-90.734,4548.951,-90.734,Capacitor,0.0,10.0
7,3989.859,-90.902,3989.859,-90.902,Capacitor,0.0,10.0
8,3589.703,-90.534,3589.703,-90.534,Capacitor,0.0,10.0
9,3263.433,-90.886,3263.433,-90.886,Capacitor,0.0,10.0
10,2768.148,-89.904,2768.148,-89.904,Capacitor,0.0,10.0
11,2584.81,-89.935,2584.81,-89.935,Capacitor,0.0,10.0
12,2266.183,-90.92,2266.183,-90.92,Capacitor,0.0,10.0
13,2015.479,-89.92,2015.479,-89.92,Capacitor,0.0,10.0
14,1801.333,-89.611,1801.333,-89.611,Capacitor,0.0,10.0
0,17850.353,-96.397,17684.144,-97.312,Capacitor,0.0,10.0
1,11729.761,-89.454,11175.419,-90.974,Capacitor,0.0,10.0
2,8848.552,-92.809,8813.25,-92.185,Capacitor,0.0,10.0
3,7226.19,-91.82,7284.904,-92.264,Capacitor,0.0,10.0
4,5884.517,-91.957,6018.797,-92.32,Capacitor,0.0,10.0
5,5058.407,-91.423,5143.408,-91.317,Capacitor,0.0,10.0
6,4455.489,-90.479,4548.858,-90.734,Capacitor,0.0,10.0
7,3934.629,-91.221,3989.804,-90.902,Capacitor,0.0,10.0
8,3541.303,-90.986,3589.655,-90.534,Capacitor,0.0,10.0
9,3219.57,-91.148,3263.389,-90.886,Capacitor,0.0,10.0
10,2747.323,-90.33,2768.127,-89.905,Capacitor,0.0,10.0
11,2527.36,-90.465,2584.24,-89.935,Capacitor,0.0,10.0
12,2213.301,-90.445,2266.13,-90.93,Capacitor,0.0,10.0
13,1978.465,-90.226,2015.442,-89.921,Capacitor,0.0,10.0
14,1785.91,-90.344,1801.318,-89.612,Capacitor,0.0,10.0
0,18465.878,-99.608,17684.925,-97.315,Capacitor,0.0,10.0
1,11860.131,-96.52,11176.105,-90.979,Capacitor,0.0,10.0
2,9093.71,-91.754,8813.306,-92.185,Capacitor,0.0,10.0
3,7109.117,-91.217,7284.729,-92.263,Capacitor,0.0,10.0
4,6006.532,-91.702,6018.785,-92.31,Capacitor,0.0,10.0
5,5213.992,-91.433,5143.479,-91.317,Capacitor,0.0,10.0
6,4604.894,-90.333,4548.914,-90.734,Capacitor,0.0,10.0
7,4063.221,-90.41,3989.877,-90.902,Capacitor,0.0,10.0
8,3623.756,-90.28,3589.689,-90.534,Capacitor,0.0,10.0
9,3301.86,-90.327,3263.426,-90.885,Capacitor,0.0,10.0
10,2804.569,-88.864,2768.163,-89.903,Capacitor,0.0,10.0
11,2601.118,-89.586,2584.41,-89.935,Capacitor,0.0,10.0
12,2278.614,-89.39,2266.142,-90.92,Capacitor,0.0,10.0
13,2039.54,-89.134,2015.466,-89.92,Capacitor,0.0,10.0
14,1824.699,-89.143,1801.341,-89.612,Capacitor,0.0,10.0
0,18307.511,-93.499,17685.546,-97.311,Capacitor,0.0,10.0
1,11752.267,-96.595,11176.681,-90.985,Capacitor,0.0,10.0
