Index,Magnitude,Phase,AccMagnitude,AccPhase,Label,Value_R,Value_C
0,1326.705,0.28,1326.705,0.28,Resistor,1300.0,0.0
1,1330.139,0.264,1330.139,0.264,Resistor,1300.0,0.0
2,1325.365,0.381,1325.365,0.381,Resistor,1300.0,0.0
3,1325.953,0.117,1325.953,0.117,Resistor,1300.0,0.0
4,1324.42,0.158,1324.42,0.158,Resistor,1300.0,0.0
5,1332.627,0.85,1332.627,0.85,Resistor,1300.0,0.0
6,1333.898,0.322,1333.898,0.322,Resistor,1300.0,0.0
7,1331.46,0.209,1331.46,0.209,Resistor,1300.0,0.0
8,1328.42,0.12,1328.42,0.12,Resistor,1300.0,0.0
9,1323.247,0.13,1323.247,0.13,Resistor,1300.0,0.0
10,1326.903,0.134,1326.903,0.134,Resistor,1300.0,0.0
11,1335.522,0.206,1335.522,0.206,Resistor,1300.0,0.0
12,1329.249,0.184,1329.249,0.184,Resistor,1300.0,0.0
13,1338.877,0.183,1338.877,0.183,Resistor,1300.0,0.0
14,1321.393,0.166,1321.393,0.166,Resistor,1300.0,0.0
0,1327.636,0.474,1326.706,0.28,Resistor,1300.0,0.0
1,1328.823,0.145,1330.137,0.264,Resistor,1300.0,0.0
2,1329.322,0.61,1325.369,0.38,Resistor,1300.0,0.0
3,1319.725,0.8,1325.947,0.117,Resistor,1300.0,0.0
4,1324.694,0.336,1324.42,0.158,Resistor,1300.0,0.0
5,1330.539,0.323,1332.625,0.85,Resistor,1300.0,0.0
6,1331.337,0.8,1333.895,0.321,Resistor,1300.0,0.0
7,1331.417,0.248,1331.46,0.209,Resistor,1300.0,0.0
8,1327.4,0.407,1328.418,0.12,Resistor,1300.0,0.0
9,1315.33,0.322,1323.239,0.13,Resistor,1300.0,0.0
10,1332.919,0.165,1326.909,0.133,Resistor,1300.0,0.0
11,1324.979,0.34,1335.511,0.205,Resistor,1300.0,0.0
12,1325.383,0.512,1329.245,0.183,Resistor,1300.0,0.0
13,1330.979,0.11,1338.869,0.183,Resistor,1300.0,0.0
14,1313.423,0.513,1321.385,0.165,Resistor,1300.0,0.0
0,1289.19,0.157,1326.668,0.28,Resistor,1300.0,0.0
1,1295.746,0.96,1330.103,0.264,Resistor,1300.0,0.0
2,1293.275,0.558,1325.337,0.379,Resistor,1300.0,0.0
3,1299.27,0.298,1325.92,0.117,Resistor,1300.0,0.0
4,1298.361,0.202,1324.17,0.158,Resistor,1300.0,0.0
5,1297.192,0.519,1332.59,0.84,Resistor,1300.0,0.0
6,1290.191,0.461,1333.852,0.32,Resistor,1300.0,0.0
7,1295.994,0.404,1331.11,0.209,Resistor,1300.0,0.0
8,1295.149,0.501,1328.385,0.11,Resistor,1300.0,0.0
9,1302.462,0.4,1323.218,0.12,Resistor,1300.0,0.0
10,1296.661,0.66,1326.878,0.133,Resistor,1300.0,0.0
11,1293.14,0.702,1335.469,0.204,Resistor,1300.0,0.0
12,1293.352,0.738,1329.209,0.182,Resistor,1300.0,0.0
13,1289.404,-1.21,1338.819,0.181,Resistor,1300.0,0.0
14,1302.463,-1.332,1321.366,0.164,Resistor,1300.0,0.0
0,1301.669,0.328,1326.643,0.28,Resistor,1300.0,0.0
1,1302.216,0.106,1330.75,0.264,Resistor,1300.0,0.0
2,1297.48,0.74,1325.309,0.379,Resistor,1300.0,0.0
3,1297.363,0.87,1325.891,0.116,Resistor,1300.0,0.0
4,1298.532,0.413,1323.991,0.158,Resistor,1300.0,0.0
5,1296.45,0.13,1332.554,0.84,Resistor,1300.0,0.0
6,1295.317,0.101,1333.813,0.32,Resistor,1300.0,0.0
7,1294.575,0.354,1330.975,0.209,Resistor,1300.0,0.0
8,1296.595,0.161,1328.354,0.11,Resistor,1300.0,0.0
9,1296.941,0.281,1323.192,0.12,Resistor,1300.0,0.0
10,1301.661,0.257,1326.853,0.133,Resistor,1300.0,0.0
11,1295.448,0.193,1335.429,0.204,Resistor,1300.0,0.0
12,1291.941,0.312,1329.172,0.183,Resistor,1300.0,0.0
