Index,Magnitude,Phase,AccMagnitude,AccPhase,Label,Value_R,Value_C
0,3066.844,0.133,3066.844,0.133,Resistor,3000.0,0.0
1,3056.675,0.611,3056.675,0.611,Resistor,3000.0,0.0
2,3067.741,0.227,3067.741,0.227,Resistor,3000.0,0.0
3,3078.51,0.292,3078.51,0.292,Resistor,3000.0,0.0
4,3074.38,0.124,3074.38,0.124,Resistor,3000.0,0.0
5,3073.363,0.96,3073.363,0.96,Resistor,3000.0,0.0
6,3085.868,0.44,3085.868,0.44,Resistor,3000.0,0.0
7,3071.604,0.35,3071.604,0.35,Resistor,3000.0,0.0
8,3074.116,0.94,3074.116,0.94,Resistor,3000.0,0.0
9,3055.132,0.154,3055.132,0.154,Resistor,3000.0,0.0
10,3062.807,0.21,3062.807,0.21,Resistor,3000.0,0.0
11,3071.56,0.9,3071.56,0.9,Resistor,3000.0,0.0
12,3062.379,0.19,3062.379,0.19,Resistor,3000.0,0.0
13,3088.324,0.158,3088.324,0.158,Resistor,3000.0,0.0
14,3052.569,0.29,3052.569,0.29,Resistor,3000.0,0.0
0,3068.909,0.18,3066.846,0.133,Resistor,3000.0,0.0
1,3071.599,-1.1,3056.69,0.611,Resistor,3000.0,0.0
2,3066.928,0.25,3067.74,0.227,Resistor,3000.0,0.0
3,3086.185,0.134,3078.59,0.292,Resistor,3000.0,0.0
4,3065.395,0.397,3074.371,0.124,Resistor,3000.0,0.0
5,3083.632,0.108,3073.374,0.95,Resistor,3000.0,0.0
6,3071.762,0.203,3085.854,0.44,Resistor,3000.0,0.0
7,3073.548,0.355,3071.606,0.35,Resistor,3000.0,0.0
8,3076.824,0.44,3074.119,0.93,Resistor,3000.0,0.0
9,3054.216,0.536,3055.131,0.155,Resistor,3000.0,0.0
10,3059.76,0.514,3062.804,0.21,Resistor,3000.0,0.0
11,3070.822,0.273,3071.56,0.91,Resistor,3000.0,0.0
12,3051.267,0.502,3062.368,0.18,Resistor,3000.0,0.0
13,3087.32,0.487,3088.323,0.158,Resistor,3000.0,0.0
