Index,Magnitude,Phase,AccMagnitude,AccPhase,Label,Value_R,Value_C
0,776.547,0.295,776.547,0.295,Resistor,750.0,0.0
1,785.135,0.834,785.135,0.834,Resistor,750.0,0.0
2,777.971,0.79,777.971,0.79,Resistor,750.0,0.0
3,772.254,0.237,772.254,0.237,Resistor,750.0,0.0
4,778.16,0.275,778.16,0.275,Resistor,750.0,0.0
5,780.245,0.376,780.245,0.376,Resistor,750.0,0.0
6,778.304,0.365,778.304,0.365,Resistor,750.0,0.0
7,779.62,0.77,779.62,0.77,Resistor,750.0,0.0
8,777.194,0.93,777.194,0.93,Resistor,750.0,0.0
9,772.181,0.348,772.181,0.348,Resistor,750.0,0.0
10,775.262,0.449,775.262,0.449,Resistor,750.0,0.0
11,778.631,0.51,778.631,0.51,Resistor,750.0,0.0
12,778.559,0.11,778.559,0.11,Resistor,750.0,0.0
13,784.352,0.311,784.352,0.311,Resistor,750.0,0.0
14,774.833,0.738,774.833,0.738,Resistor,750.0,0.0
0,772.14,0.71,776.543,0.294,Resistor,750.0,0.0
1,781.617,0.619,785.132,0.834,Resistor,750.0,0.0
2,774.58,0.738,777.968,0.79,Resistor,750.0,0.0
3,770.555,0.205,772.253,0.237,Resistor,750.0,0.0
4,779.575,0.226,778.161,0.274,Resistor,750.0,0.0
5,776.678,0.857,780.241,0.377,Resistor,750.0,0.0
6,776.604,0.527,778.302,0.365,Resistor,750.0,0.0
7,778.438,0.313,779.62,0.78,Resistor,750.0,0.0
8,774.66,0.114,777.19,0.93,Resistor,750.0,0.0
9,771.41,0.376,772.18,0.348,Resistor,750.0,0.0
10,774.958,0.535,775.262,0.449,Resistor,750.0,0.0
11,772.225,1.15,778.624,0.51,Resistor,750.0,0.0
12,781.159,0.648,778.562,0.11,Resistor,750.0,0.0
13,778.501,0.994,784.346,0.312,Resistor,750.0,0.0
14,768.784,1.319,774.827,0.739,Resistor,750.0,0.0
0,775.395,0.58,776.542,0.294,Resistor,750.0,0.0
1,773.8,0.361,785.12,0.833,Resistor,750.0,0.0
2,777.281,0.445,777.967,0.79,Resistor,750.0,0.0
3,778.205,0.342,772.259,0.236,Resistor,750.0,0.0
4,780.35,0.5,778.163,0.274,Resistor,750.0,0.0
5,775.955,0.457,780.237,0.377,Resistor,750.0,0.0
6,775.383,0.119,778.299,0.365,Resistor,750.0,0.0
7,778.319,0.168,779.61,0.78,Resistor,750.0,0.0
8,774.853,0.65,777.188,0.93,Resistor,750.0,0.0
9,771.599,0.206,772.18,0.348,Resistor,750.0,0.0
10,775.22,0.26,775.261,0.449,Resistor,750.0,0.0
11,775.594,0.177,778.621,0.51,Resistor,750.0,0.0
12,777.543,0.185,778.561,0.11,Resistor,750.0,0.0
13,782.21,0.539,784.343,0.312,Resistor,750.0,0.0
14,774.887,0.666,774.827,0.739,Resistor,750.0,0.0
0,741.36,0.19,776.506,0.294,Resistor,750.0,0.0
1,744.515,0.568,785.79,0.832,Resistor,750.0,0.0
2,744.787,0.233,777.934,0.789,Resistor,750.0,0.0
3,742.585,0.272,772.229,0.236,Resistor,750.0,0.0
4,746.375,0.158,778.131,0.274,Resistor,750.0,0.0
5,743.485,0.93,780.2,0.377,Resistor,750.0,0.0
6,741.874,0.46,778.263,0.365,Resistor,750.0,0.0
7,742.105,0.47,779.24,0.77,Resistor,750.0,0.0
8,743.922,0.96,777.155,0.92,Resistor,750.0,0.0
9,748.821,0.97,772.156,0.348,Resistor,750.0,0.0
10,745.89,0.89,775.231,0.448,Resistor,750.0,0.0
11,743.833,0.18,778.586,0.509,Resistor,750.0,0.0
12,744.499,0.36,778.527,0.11,Resistor,750.0,0.0
13,742.183,0.34,784.301,0.311,Resistor,750.0,0.0
14,747.835,0.89,774.8,0.738,Resistor,750.0,0.0
0,741.472,0.568,776.471,0.294,Resistor,750.0,0.0
1,736.611,0.57,785.31,0.832,Resistor,750.0,0.0
2,744.712,0.504,777.9,0.787,Resistor,750.0,0.0
3,743.37,0.39,772.2,0.237,Resistor,750.0,0.0
4,745.726,0.536,778.99,0.273,Resistor,750.0,0.0
5,745.594,0.171,780.165,0.376,Resistor,750.0,0.0
6,740.436,0.169,778.225,0.364,Resistor,750.0,0.0
7,742.229,0.334,778.987,0.78,Resistor,750.0,0.0
8,742.942,0.108,777.121,0.92,Resistor,750.0,0.0
9,746.962,0.311,772.131,0.348,Resistor,750.0,0.0
10,744.42,0.109,775.2,0.448,Resistor,750.0,0.0
11,744.681,0.28,778.553,0.509,Resistor,750.0,0.0
12,742.757,0.88,778.491,0.11,Resistor,750.0,0.0
13,743.451,0.103,784.26,0.311,Resistor,750.0,0.0
14,749.24,0.89,774.774,0.737,Resistor,750.0,0.0
0,739.3,0.48,776.434,0.294,Resistor,750.0,0.0
1,733.462,0.466,784.979,0.831,Resistor,750.0,0.0
2,748.78,0.428,777.871,0.786,Resistor,750.0,0.0
3,747.13,0.687,772.175,0.237,Resistor,750.0,0.0
4,742.471,0.15,778.63,0.273,Resistor,750.0,0.0
5,743.98,0.242,780.129,0.376,Resistor,750.0,0.0
6,742.344,0.303,778.189,0.364,Resistor,750.0,0.0
7,743.318,0.115,778.951,0.78,Resistor,750.0,0.0
8,744.9,0.297,777.88,0.93,Resistor,750.0,0.0
9,750.527,0.235,772.11,0.347,Resistor,750.0,0.0
10,743.726,0.355,775.168,0.447,Resistor,750.0,0.0
11,742.832,0.457,778.517,0.508,Resistor,750.0,0.0
12,742.908,0.452,778.455,0.11,Resistor,750.0,0.0
13,741.512,0.417,784.218,0.31,Resistor,750.0,0.0
14,748.193,0.573,774.747,0.736,Resistor,750.0,0.0
0,779.578,0.17,776.437,0.293,Resistor,750.0,0.0
1,775.604,0.685,784.97,0.831,Resistor,750.0,0.0
2,774.146,0.436,777.867,0.786,Resistor,750.0,0.0
3,770.256,0.819,772.173,0.236,Resistor,750.0,0.0
4,780.41,0.139,778.65,0.273,Resistor,750.0,0.0
5,774.26,0.545,780.123,0.376,Resistor,750.0,0.0
6,778.201,0.569,778.189,0.364,Resistor,750.0,0.0
7,773.616,0.381,778.946,0.78,Resistor,750.0,0.0
8,772.633,0.39,777.83,0.92,Resistor,750.0,0.0
9,770.772,0.371,772.108,0.347,Resistor,750.0,0.0
10,771.477,0.757,775.165,0.448,Resistor,750.0,0.0
11,777.141,0.856,778.515,0.508,Resistor,750.0,0.0
12,782.245,0.668,778.459,0.11,Resistor,750.0,0.0
13,777.773,1.146,784.211,0.311,Resistor,750.0,0.0
