Index,Magnitude,Phase,AccMagnitude,AccPhase,Label,Value_R,Value_C
0,3161.217,-38.662,3161.217,-38.662,Series_RC,2400.0,100.0
1,2780.133,-28.361,2780.133,-28.361,Series_RC,2400.0,100.0
2,2667.542,-21.293,2667.542,-21.293,Series_RC,2400.0,100.0
3,2625.543,-17.364,2625.543,-17.364,Series_RC,2400.0,100.0
4,2566.388,-15.268,2566.388,-15.268,Series_RC,2400.0,100.0
5,2544.998,-12.807,2544.998,-12.807,Series_RC,2400.0,100.0
6,2547.854,-11.305,2547.854,-11.305,Series_RC,2400.0,100.0
7,2523.67,-10.407,2523.67,-10.407,Series_RC,2400.0,100.0
8,2514.919,-8.841,2514.919,-8.841,Series_RC,2400.0,100.0
9,2480.894,-8.496,2480.894,-8.496,Series_RC,2400.0,100.0
10,2512.218,-7.355,2512.218,-7.355,Series_RC,2400.0,100.0
11,2501.211,-6.678,2501.211,-6.678,Series_RC,2400.0,100.0
12,2485.504,-5.822,2485.504,-5.822,Series_RC,2400.0,100.0
13,2496.939,-4.793,2496.939,-4.793,Series_RC,2400.0,100.0
14,2466.114,-4.461,2466.114,-4.461,Series_RC,2400.0,100.0
0,3128.12,-38.516,3161.184,-38.662,Series_RC,2400.0,100.0
1,2753.549,-28.8,2780.106,-28.361,Series_RC,2400.0,100.0
2,2615.543,-22.385,2667.49,-21.294,Series_RC,2400.0,100.0
3,2548.598,-18.147,2625.467,-17.365,Series_RC,2400.0,100.0
4,2514.833,-14.635,2566.337,-15.267,Series_RC,2400.0,100.0
5,2493.51,-13.55,2544.946,-12.808,Series_RC,2400.0,100.0
6,2472.745,-11.57,2547.779,-11.305,Series_RC,2400.0,100.0
7,2457.906,-10.49,2523.2,-10.407,Series_RC,2400.0,100.0
8,2451.606,-8.907,2514.856,-8.841,Series_RC,2400.0,100.0
9,2468.216,-7.953,2480.881,-8.496,Series_RC,2400.0,100.0
10,2453.131,-6.591,2512.159,-7.355,Series_RC,2400.0,100.0
11,2435.54,-6.282,2501.145,-6.678,Series_RC,2400.0,100.0
12,2434.16,-5.282,2485.453,-5.822,Series_RC,2400.0,100.0
13,2426.865,-4.785,2496.869,-4.793,Series_RC,2400.0,100.0
14,2454.173,-4.15,2466.103,-4.461,Series_RC,2400.0,100.0
0,3157.949,-38.558,3161.181,-38.662,Series_RC,2400.0,100.0
1,2824.2,-27.192,2780.15,-28.36,Series_RC,2400.0,100.0
2,2674.963,-20.892,2667.498,-21.293,Series_RC,2400.0,100.0
3,2588.211,-17.702,2625.429,-17.365,Series_RC,2400.0,100.0
4,2548.47,-15.78,2566.319,-15.267,Series_RC,2400.0,100.0
5,2556.352,-12.81,2544.957,-12.808,Series_RC,2400.0,100.0
6,2541.153,-10.678,2547.772,-11.304,Series_RC,2400.0,100.0
7,2499.326,-9.91,2522.978,-10.406,Series_RC,2400.0,100.0
8,2500.301,-8.722,2514.842,-8.841,Series_RC,2400.0,100.0
9,2466.218,-7.687,2480.866,-8.495,Series_RC,2400.0,100.0
10,2506.752,-6.607,2512.153,-7.354,Series_RC,2400.0,100.0
11,2467.695,-6.9,2501.112,-6.677,Series_RC,2400.0,100.0
12,2494.39,-4.336,2485.462,-5.82,Series_RC,2400.0,100.0
13,2479.998,-3.194,2496.852,-4.791,Series_RC,2400.0,100.0
14,2472.5,-2.911,2466.109,-4.459,Series_RC,2400.0,100.0
0,3134.933,-38.809,3161.155,-38.662,Series_RC,2400.0,100.0
1,2735.23,-28.228,2780.105,-28.36,Series_RC,2400.0,100.0
2,2620.0,-22.517,2667.45,-21.295,Series_RC,2400.0,100.0
3,2548.908,-17.96,2625.353,-17.366,Series_RC,2400.0,100.0
4,2522.41,-14.633,2566.274,-15.266,Series_RC,2400.0,100.0
5,2493.625,-13.45,2544.906,-12.808,Series_RC,2400.0,100.0
6,2472.591,-11.945,2547.697,-11.305,Series_RC,2400.0,100.0
7,2465.869,-10.312,2522.921,-10.406,Series_RC,2400.0,100.0
8,2456.465,-9.138,2514.783,-8.841,Series_RC,2400.0,100.0
9,2470.73,-8.172,2480.856,-8.494,Series_RC,2400.0,100.0
10,2452.871,-7.213,2512.94,-7.354,Series_RC,2400.0,100.0
11,2435.301,-6.96,2501.46,-6.678,Series_RC,2400.0,100.0
12,2432.749,-5.831,2485.409,-5.82,Series_RC,2400.0,100.0
13,2421.63,-5.37,2496.777,-4.792,Series_RC,2400.0,100.0
14,2451.336,-4.902,2466.94,-4.46,Series_RC,2400.0,100.0
0,3169.977,-38.682,3161.164,-38.662,Series_RC,2400.0,100.0
1,2814.897,-27.629,2780.14,-28.359,Series_RC,2400.0,100.0
2,2668.631,-21.439,2667.451,-21.295,Series_RC,2400.0,100.0
3,2601.874,-17.602,2625.329,-17.366,Series_RC,2400.0,100.0
4,2563.877,-15.494,2566.272,-15.267,Series_RC,2400.0,100.0
5,2548.438,-13.13,2544.909,-12.809,Series_RC,2400.0,100.0
6,2544.78,-11.639,2547.694,-11.305,Series_RC,2400.0,100.0
7,2524.24,-10.637,2522.922,-10.406,Series_RC,2400.0,100.0
8,2508.668,-9.234,2514.777,-8.841,Series_RC,2400.0,100.0
9,2481.424,-8.812,2480.857,-8.495,Series_RC,2400.0,100.0
10,2499.571,-7.665,2512.82,-7.354,Series_RC,2400.0,100.0
11,2496.542,-7.172,2501.42,-6.678,Series_RC,2400.0,100.0
12,2482.89,-6.535,2485.406,-5.821,Series_RC,2400.0,100.0
13,2493.37,-5.526,2496.773,-4.793,Series_RC,2400.0,100.0
14,2457.656,-5.18,2466.86,-4.461,Series_RC,2400.0,100.0
0,3151.61,-38.848,3161.154,-38.662,Series_RC,2400.0,100.0
1,2821.868,-27.643,2780.182,-28.358,Series_RC,2400.0,100.0
2,2682.745,-20.931,2667.467,-21.294,Series_RC,2400.0,100.0
3,2581.698,-17.535,2625.286,-17.366,Series_RC,2400.0,100.0
4,2556.491,-15.245,2566.262,-15.267,Series_RC,2400.0,100.0
5,2541.253,-12.481,2544.906,-12.808,Series_RC,2400.0,100.0
6,2554.137,-11.44,2547.7,-11.305,Series_RC,2400.0,100.0
7,2522.955,-10.37,2522.922,-10.406,Series_RC,2400.0,100.0
8,2501.37,-8.511,2514.764,-8.841,Series_RC,2400.0,100.0
9,2473.922,-8.171,2480.85,-8.494,Series_RC,2400.0,100.0
10,2507.659,-6.856,2512.77,-7.353,Series_RC,2400.0,100.0
11,2487.509,-5.891,2501.28,-6.677,Series_RC,2400.0,100.0
12,2497.2,-5.26,2485.418,-5.82,Series_RC,2400.0,100.0
13,2499.119,-4.12,2496.775,-4.792,Series_RC,2400.0,100.0
14,2460.291,-3.358,2466.8,-4.459,Series_RC,2400.0,100.0
0,3119.6,-38.589,3161.112,-38.662,Series_RC,2400.0,100.0
1,2741.874,-28.646,2780.144,-28.359,Series_RC,2400.0,100.0
2,2601.622,-22.735,2667.401,-21.296,Series_RC,2400.0,100.0
3,2544.703,-18.341,2625.205,-17.367,Series_RC,2400.0,100.0
4,2511.423,-14.912,2566.208,-15.266,Series_RC,2400.0,100.0
5,2488.434,-13.475,2544.849,-12.809,Series_RC,2400.0,100.0
6,2460.125,-11.948,2547.613,-11.306,Series_RC,2400.0,100.0
7,2455.25,-10.543,2522.855,-10.406,Series_RC,2400.0,100.0
8,2453.734,-9.542,2514.703,-8.842,Series_RC,2400.0,100.0
9,2462.231,-8.208,2480.832,-8.494,Series_RC,2400.0,100.0
10,2444.205,-7.249,2512.9,-7.353,Series_RC,2400.0,100.0
11,2428.267,-7.54,2500.956,-6.678,Series_RC,2400.0,100.0
12,2429.818,-6.121,2485.363,-5.82,Series_RC,2400.0,100.0
13,2415.161,-5.75,2496.693,-4.793,Series_RC,2400.0,100.0
14,2441.106,-5.187,2466.55,-4.46,Series_RC,2400.0,100.0
0,3116.25,-38.801,3161.67,-38.663,Series_RC,2400.0,100.0
1,2760.178,-27.316,2780.124,-28.358,Series_RC,2400.0,100.0
2,2619.606,-22.873,2667.353,-21.297,Series_RC,2400.0,100.0
3,2549.215,-17.969,2625.129,-17.368,Series_RC,2400.0,100.0
4,2524.787,-15.29,2566.166,-15.266,Series_RC,2400.0,100.0
5,2494.183,-13.465,2544.798,-12.81,Series_RC,2400.0,100.0
6,2468.428,-11.939,2547.534,-11.306,Series_RC,2400.0,100.0
7,2455.641,-10.393,2522.788,-10.406,Series_RC,2400.0,100.0
8,2462.648,-9.294,2514.651,-8.842,Series_RC,2400.0,100.0
9,2465.434,-8.24,2480.816,-8.494,Series_RC,2400.0,100.0
10,2445.51,-7.95,2511.943,-7.353,Series_RC,2400.0,100.0
11,2430.732,-6.884,2500.885,-6.678,Series_RC,2400.0,100.0
12,2433.919,-5.761,2485.311,-5.82,Series_RC,2400.0,100.0
13,2413.705,-5.477,2496.61,-4.794,Series_RC,2400.0,100.0
14,2457.55,-4.825,2466.46,-4.461,Series_RC,2400.0,100.0
0,3131.59,-38.918,3161.37,-38.663,Series_RC,2400.0,100.0
1,2765.169,-27.445,2780.109,-28.357,Series_RC,2400.0,100.0
2,2607.842,-22.775,2667.293,-21.299,Series_RC,2400.0,100.0
3,2553.363,-17.885,2625.57,-17.368,Series_RC,2400.0,100.0
4,2517.825,-15.5,2566.118,-15.266,Series_RC,2400.0,100.0
5,2490.12,-13.557,2544.743,-12.81,Series_RC,2400.0,100.0
6,2457.455,-12.38,2547.444,-11.307,Series_RC,2400.0,100.0
7,2453.425,-10.505,2522.718,-10.406,Series_RC,2400.0,100.0
8,2456.919,-9.391,2514.593,-8.843,Series_RC,2400.0,100.0
9,2463.56,-8.364,2480.799,-8.494,Series_RC,2400.0,100.0
10,2440.78,-7.34,2511.872,-7.353,Series_RC,2400.0,100.0
11,2428.533,-7.112,2500.813,-6.678,Series_RC,2400.0,100.0
12,2426.533,-6.15,2485.252,-5.82,Series_RC,2400.0,100.0
13,2412.826,-5.654,2496.527,-4.794,Series_RC,2400.0,100.0
14,2448.522,-5.251,2466.28,-4.461,Series_RC,2400.0,100.0
0,3001.72,-41.5,3160.878,-38.665,Series_RC,2400.0,100.0
1,2738.385,-30.262,2780.68,-28.359,Series_RC,2400.0,100.0
2,2588.633,-26.219,2667.215,-21.304,Series_RC,2400.0,100.0
3,2733.762,-23.35,2625.166,-17.374,Series_RC,2400.0,100.0
4,2565.377,-24.881,2566.117,-15.275,Series_RC,2400.0,100.0
5,2413.622,-20.412,2544.612,-12.818,Series_RC,2400.0,100.0
6,2528.792,-18.122,2547.425,-11.314,Series_RC,2400.0,100.0
7,2906.808,-14.692,2523.102,-10.411,Series_RC,2400.0,100.0
8,2211.668,-22.894,2514.29,-8.857,Series_RC,2400.0,100.0
9,2407.918,-19.949,2480.726,-8.505,Series_RC,2400.0,100.0
10,2819.562,-18.304,2512.179,-7.364,Series_RC,2400.0,100.0
11,2178.917,-18.33,2500.491,-6.69,Series_RC,2400.0,100.0
12,2677.318,-17.89,2485.444,-5.832,Series_RC,2400.0,100.0
13,2243.262,-20.937,2496.273,-4.811,Series_RC,2400.0,100.0
14,2664.942,-23.782,2466.227,-4.481,Series_RC,2400.0,100.0
0,3116.686,-37.66,3160.834,-38.664,Series_RC,2400.0,100.0
1,2686.695,-27.477,2779.974,-28.358,Series_RC,2400.0,100.0
2,2779.708,-20.35,2667.327,-21.303,Series_RC,2400.0,100.0
3,2610.101,-13.279,2625.151,-17.37,Series_RC,2400.0,100.0
4,2572.323,-9.522,2566.123,-15.27,Series_RC,2400.0,100.0
5,2541.784,-5.909,2544.609,-12.811,Series_RC,2400.0,100.0
6,2572.788,-8.17,2547.451,-11.311,Series_RC,2400.0,100.0
7,2569.599,-3.805,2523.149,-10.404,Series_RC,2400.0,100.0
8,2514.66,-3.43,2514.29,-8.851,Series_RC,2400.0,100.0
9,2408.515,-3.707,2480.654,-8.5,Series_RC,2400.0,100.0
10,2507.911,0.576,2512.175,-7.356,Series_RC,2400.0,100.0
11,2439.63,2.923,2500.43,-6.68,Series_RC,2400.0,100.0
12,2529.505,2.967,2485.489,-5.824,Series_RC,2400.0,100.0
13,2344.98,6.637,2496.122,-4.799,Series_RC,2400.0,100.0
14,2547.811,8.67,2466.309,-4.468,Series_RC,2400.0,100.0
0,2948.542,-42.911,3160.622,-38.668,Series_RC,2400.0,100.0
1,2841.52,-36.752,2780.36,-28.366,Series_RC,2400.0,100.0
2,2630.202,-22.41,2667.29,-21.304,Series_RC,2400.0,100.0
3,2385.18,-24.33,2624.911,-17.376,Series_RC,2400.0,100.0
4,2426.955,-24.593,2565.984,-15.279,Series_RC,2400.0,100.0
5,2578.481,-24.355,2544.643,-12.823,Series_RC,2400.0,100.0
6,2547.499,-22.888,2547.451,-11.322,Series_RC,2400.0,100.0
7,2370.403,-20.745,2522.996,-10.414,Series_RC,2400.0,100.0
8,2609.286,-22.1,2514.385,-8.865,Series_RC,2400.0,100.0
9,2796.802,-13.925,2480.97,-8.506,Series_RC,2400.0,100.0
10,2294.551,-24.473,2511.957,-7.373,Series_RC,2400.0,100.0
11,2723.527,-26.826,2500.653,-6.7,Series_RC,2400.0,100.0
12,2261.458,-28.38,2485.265,-5.846,Series_RC,2400.0,100.0
13,2734.37,-32.913,2496.36,-4.827,Series_RC,2400.0,100.0
14,2427.334,-35.296,2466.27,-4.499,Series_RC,2400.0,100.0
0,3121.217,-39.106,3160.582,-38.669,Series_RC,2400.0,100.0
1,2794.611,-27.562,2780.51,-28.365,Series_RC,2400.0,100.0
2,2623.87,-23.94,2667.246,-21.305,Series_RC,2400.0,100.0
3,2560.328,-18.456,2624.846,-17.378,Series_RC,2400.0,100.0
4,2520.63,-14.696,2565.938,-15.278,Series_RC,2400.0,100.0
5,2496.365,-13.443,2544.595,-12.823,Series_RC,2400.0,100.0
6,2468.391,-11.952,2547.372,-11.323,Series_RC,2400.0,100.0
7,2462.524,-10.434,2522.936,-10.414,Series_RC,2400.0,100.0
8,2460.468,-9.287,2514.331,-8.865,Series_RC,2400.0,100.0
9,2470.6,-8.284,2480.959,-8.506,Series_RC,2400.0,100.0
10,2453.486,-7.141,2511.899,-7.373,Series_RC,2400.0,100.0
11,2433.449,-6.903,2500.586,-6.701,Series_RC,2400.0,100.0
12,2433.482,-5.738,2485.213,-5.846,Series_RC,2400.0,100.0
13,2418.844,-5.434,2496.282,-4.828,Series_RC,2400.0,100.0
14,2452.578,-4.797,2466.256,-4.499,Series_RC,2400.0,100.0
0,3188.905,-37.632,3160.61,-38.668,Series_RC,2400.0,100.0
1,2815.223,-25.319,2780.86,-28.362,Series_RC,2400.0,100.0
2,2693.856,-19.623,2667.273,-21.304,Series_RC,2400.0,100.0
3,2589.82,-15.32,2624.811,-17.375,Series_RC,2400.0,100.0
4,2527.12,-12.906,2565.899,-15.276,Series_RC,2400.0,100.0
5,2479.459,-9.825,2544.53,-12.82,Series_RC,2400.0,100.0
6,2386.518,-5.27,2547.211,-11.317,Series_RC,2400.0,100.0
7,2690.526,-4.123,2523.103,-10.408,Series_RC,2400.0,100.0
8,2526.299,-4.299,2514.343,-8.86,Series_RC,2400.0,100.0
9,2438.937,-1.491,2480.917,-8.499,Series_RC,2400.0,100.0
10,2597.85,2.99,2511.985,-7.363,Series_RC,2400.0,100.0
11,2473.11,2.829,2500.558,-6.691,Series_RC,2400.0,100.0
12,2487.229,2.867,2485.215,-5.837,Series_RC,2400.0,100.0
13,2486.275,4.807,2496.272,-4.818,Series_RC,2400.0,100.0
14,2406.213,6.499,2466.196,-4.488,Series_RC,2400.0,100.0
0,3200.386,-38.203,3160.65,-38.667,Series_RC,2400.0,100.0
1,2833.161,-28.76,2780.139,-28.362,Series_RC,2400.0,100.0
2,2675.827,-21.349,2667.281,-21.304,Series_RC,2400.0,100.0
3,2615.461,-17.602,2624.801,-17.375,Series_RC,2400.0,100.0
4,2570.468,-15.374,2565.904,-15.276,Series_RC,2400.0,100.0
5,2550.48,-12.857,2544.535,-12.82,Series_RC,2400.0,100.0
6,2556.1,-11.558,2547.22,-11.317,Series_RC,2400.0,100.0
7,2529.543,-10.378,2523.11,-10.408,Series_RC,2400.0,100.0
8,2507.398,-9.45,2514.336,-8.861,Series_RC,2400.0,100.0
9,2475.87,-8.476,2480.912,-8.499,Series_RC,2400.0,100.0
10,2501.7,-7.344,2511.974,-7.363,Series_RC,2400.0,100.0
11,2487.2,-6.692,2500.545,-6.691,Series_RC,2400.0,100.0
12,2495.25,-5.953,2485.225,-5.838,Series_RC,2400.0,100.0
13,2498.357,-4.814,2496.274,-4.818,Series_RC,2400.0,100.0
14,2473.271,-4.101,2466.203,-4.488,Series_RC,2400.0,100.0
0,3146.759,-37.471,3160.636,-38.666,Series_RC,2400.0,100.0
1,2854.89,-27.516,2780.213,-28.361,Series_RC,2400.0,100.0
2,2644.666,-20.126,2667.259,-21.303,Series_RC,2400.0,100.0
3,2573.44,-15.64,2624.75,-17.373,Series_RC,2400.0,100.0
4,2570.14,-14.376,2565.908,-15.275,Series_RC,2400.0,100.0
5,2604.48,-10.532,2544.595,-12.818,Series_RC,2400.0,100.0
6,2536.999,-7.601,2547.209,-11.313,Series_RC,2400.0,100.0
7,2505.648,-7.314,2523.92,-10.405,Series_RC,2400.0,100.0
8,2450.614,-4.982,2514.272,-8.857,Series_RC,2400.0,100.0
9,2513.39,-3.7,2480.944,-8.494,Series_RC,2400.0,100.0
10,2483.22,-3.399,2511.945,-7.36,Series_RC,2400.0,100.0
11,2444.368,-3.16,2500.489,-6.687,Series_RC,2400.0,100.0
12,2498.507,0.3,2485.238,-5.832,Series_RC,2400.0,100.0
13,2445.726,1.982,2496.223,-4.811,Series_RC,2400.0,100.0
14,2471.167,2.913,2466.208,-4.48,Series_RC,2400.0,100.0
0,3162.375,-38.305,3160.638,-38.666,Series_RC,2400.0,100.0
1,2724.295,-27.996,2780.157,-28.361,Series_RC,2400.0,100.0
2,2716.711,-21.279,2667.308,-21.303,Series_RC,2400.0,100.0
3,2596.664,-16.93,2624.722,-17.372,Series_RC,2400.0,100.0
4,2566.815,-12.838,2565.909,-15.273,Series_RC,2400.0,100.0
5,2517.502,-9.601,2544.568,-12.815,Series_RC,2400.0,100.0
6,2575.946,-10.68,2547.238,-11.313,Series_RC,2400.0,100.0
7,2535.225,-7.912,2523.104,-10.402,Series_RC,2400.0,100.0
8,2568.71,-6.687,2514.326,-8.855,Series_RC,2400.0,100.0
9,2416.432,-7.63,2480.879,-8.492,Series_RC,2400.0,100.0
10,2455.284,-3.751,2511.888,-7.356,Series_RC,2400.0,100.0
11,2487.166,-2.849,2500.475,-6.684,Series_RC,2400.0,100.0
12,2492.97,-3.119,2485.246,-5.829,Series_RC,2400.0,100.0
13,2415.476,0.53,2496.143,-4.807,Series_RC,2400.0,100.0
14,2504.178,0.105,2466.246,-4.476,Series_RC,2400.0,100.0
0,3194.458,-38.59,3160.672,-38.666,Series_RC,2400.0,100.0
1,2788.531,-28.248,2780.166,-28.361,Series_RC,2400.0,100.0
2,2672.511,-21.168,2667.313,-21.302,Series_RC,2400.0,100.0
3,2593.708,-17.537,2624.691,-17.372,Series_RC,2400.0,100.0
4,2564.959,-15.155,2565.908,-15.273,Series_RC,2400.0,100.0
5,2558.531,-12.815,2544.582,-12.815,Series_RC,2400.0,100.0
6,2555.5,-11.532,2547.247,-11.313,Series_RC,2400.0,100.0
7,2523.916,-10.409,2523.105,-10.402,Series_RC,2400.0,100.0
