Index,Magnitude,Phase,AccMagnitude,AccPhase,Label,Value_R,Value_C
0,2578.487,-81.873,2578.487,-81.873,Series_RC,360.0,68.0
1,1725.86,-77.57,1725.86,-77.57,Series_RC,360.0,68.0
2,1342.577,-72.848,1342.577,-72.848,Series_RC,360.0,68.0
3,1110.653,-69.449,1110.653,-69.449,Series_RC,360.0,68.0
4,948.84,-65.629,948.84,-65.629,Series_RC,360.0,68.0
5,828.541,-61.881,828.541,-61.881,Series_RC,360.0,68.0
6,761.877,-58.816,761.877,-58.816,Series_RC,360.0,68.0
7,691.375,-55.675,691.375,-55.675,Series_RC,360.0,68.0
8,642.236,-53.58,642.236,-53.58,Series_RC,360.0,68.0
9,597.602,-50.845,597.602,-50.845,Series_RC,360.0,68.0
10,554.611,-46.246,554.611,-46.246,Series_RC,360.0,68.0
11,529.814,-43.136,529.814,-43.136,Series_RC,360.0,68.0
12,507.228,-39.331,507.228,-39.331,Series_RC,360.0,68.0
13,480.758,-35.501,480.758,-35.501,Series_RC,360.0,68.0
14,456.834,-32.389,456.834,-32.389,Series_RC,360.0,68.0
0,2587.944,-83.851,2578.496,-81.875,Series_RC,360.0,68.0
1,1774.854,-79.895,1725.136,-77.6,Series_RC,360.0,68.0
2,1350.164,-75.634,1342.584,-72.85,Series_RC,360.0,68.0
3,1099.113,-71.63,1110.642,-69.451,Series_RC,360.0,68.0
4,945.59,-68.387,948.81,-65.632,Series_RC,360.0,68.0
5,816.557,-65.608,828.529,-61.885,Series_RC,360.0,68.0
6,748.398,-62.773,761.863,-58.82,Series_RC,360.0,68.0
7,677.483,-59.62,691.361,-55.679,Series_RC,360.0,68.0
8,630.17,-56.591,642.224,-53.61,Series_RC,360.0,68.0
9,588.281,-54.104,597.593,-50.849,Series_RC,360.0,68.0
10,535.892,-49.998,554.593,-46.25,Series_RC,360.0,68.0
11,510.861,-47.607,529.795,-43.141,Series_RC,360.0,68.0
12,478.337,-43.197,507.199,-39.335,Series_RC,360.0,68.0
13,451.847,-40.63,480.729,-35.505,Series_RC,360.0,68.0
14,437.869,-37.93,456.815,-32.394,Series_RC,360.0,68.0
0,2570.86,-83.511,2578.489,-81.876,Series_RC,360.0,68.0
1,1789.634,-79.431,1725.2,-77.62,Series_RC,360.0,68.0
2,1358.48,-75.368,1342.6,-72.853,Series_RC,360.0,68.0
3,1105.737,-72.458,1110.637,-69.454,Series_RC,360.0,68.0
4,941.605,-68.12,948.75,-65.634,Series_RC,360.0,68.0
5,817.938,-65.657,828.519,-61.888,Series_RC,360.0,68.0
6,754.83,-63.6,761.856,-58.824,Series_RC,360.0,68.0
7,680.344,-59.805,691.35,-55.683,Series_RC,360.0,68.0
8,632.18,-56.905,642.214,-53.65,Series_RC,360.0,68.0
9,588.891,-54.1,597.584,-50.852,Series_RC,360.0,68.0
10,534.863,-49.662,554.573,-46.253,Series_RC,360.0,68.0
11,508.821,-47.807,529.774,-43.145,Series_RC,360.0,68.0
12,476.853,-43.373,507.169,-39.339,Series_RC,360.0,68.0
13,449.654,-40.18,480.698,-35.51,Series_RC,360.0,68.0
14,439.995,-37.284,456.798,-32.399,Series_RC,360.0,68.0
0,2604.625,-83.153,2578.515,-81.877,Series_RC,360.0,68.0
1,1774.857,-78.103,1725.25,-77.63,Series_RC,360.0,68.0
2,1349.868,-75.558,1342.607,-72.856,Series_RC,360.0,68.0
3,1104.703,-71.285,1110.631,-69.456,Series_RC,360.0,68.0
4,933.343,-68.635,948.6,-65.637,Series_RC,360.0,68.0
5,822.955,-65.575,828.513,-61.892,Series_RC,360.0,68.0
6,747.64,-62.79,761.842,-58.828,Series_RC,360.0,68.0
7,679.22,-59.526,691.338,-55.687,Series_RC,360.0,68.0
8,627.85,-56.724,642.199,-53.69,Series_RC,360.0,68.0
9,583.728,-53.85,597.57,-50.855,Series_RC,360.0,68.0
10,535.429,-49.581,554.554,-46.257,Series_RC,360.0,68.0
11,507.7,-47.342,529.752,-43.149,Series_RC,360.0,68.0
12,476.671,-43.308,507.138,-39.343,Series_RC,360.0,68.0
13,447.977,-40.152,480.665,-35.515,Series_RC,360.0,68.0
14,436.472,-37.19,456.778,-32.403,Series_RC,360.0,68.0
0,2603.408,-82.62,2578.54,-81.878,Series_RC,360.0,68.0
1,1753.465,-76.392,1725.278,-77.63,Series_RC,360.0,68.0
2,1351.715,-72.989,1342.616,-72.856,Series_RC,360.0,68.0
3,1108.559,-69.209,1110.629,-69.455,Series_RC,360.0,68.0
4,943.886,-66.17,948.56,-65.638,Series_RC,360.0,68.0
5,824.218,-61.643,828.509,-61.892,Series_RC,360.0,68.0
6,759.931,-58.855,761.84,-58.828,Series_RC,360.0,68.0
7,692.287,-55.773,691.339,-55.687,Series_RC,360.0,68.0
8,644.969,-53.324,642.202,-53.69,Series_RC,360.0,68.0
9,600.419,-50.39,597.573,-50.854,Series_RC,360.0,68.0
10,552.994,-46.84,554.552,-46.257,Series_RC,360.0,68.0
11,530.972,-43.698,529.753,-43.15,Series_RC,360.0,68.0
12,510.683,-39.21,507.142,-39.343,Series_RC,360.0,68.0
13,483.164,-35.316,480.667,-35.514,Series_RC,360.0,68.0
14,453.63,-32.65,456.774,-32.404,Series_RC,360.0,68.0
0,2591.195,-81.676,2578.552,-81.877,Series_RC,360.0,68.0
1,1737.431,-78.116,1725.29,-77.64,Series_RC,360.0,68.0
2,1344.82,-73.63,1342.619,-72.856,Series_RC,360.0,68.0
3,1096.44,-69.442,1110.614,-69.455,Series_RC,360.0,68.0
4,942.352,-66.119,948.5,-65.638,Series_RC,360.0,68.0
5,825.537,-61.85,828.506,-61.892,Series_RC,360.0,68.0
6,759.47,-58.943,761.838,-58.828,Series_RC,360.0,68.0
7,689.866,-55.78,691.337,-55.687,Series_RC,360.0,68.0
8,645.629,-53.395,642.205,-53.69,Series_RC,360.0,68.0
9,603.712,-50.887,597.579,-50.854,Series_RC,360.0,68.0
10,555.343,-46.385,554.553,-46.257,Series_RC,360.0,68.0
11,528.489,-43.641,529.752,-43.151,Series_RC,360.0,68.0
12,507.374,-39.535,507.142,-39.343,Series_RC,360.0,68.0
13,478.252,-35.627,480.665,-35.514,Series_RC,360.0,68.0
14,453.824,-32.796,456.772,-32.404,Series_RC,360.0,68.0
0,2557.393,-81.398,2578.531,-81.877,Series_RC,360.0,68.0
1,1714.664,-77.201,1725.28,-77.64,Series_RC,360.0,68.0
2,1349.253,-73.72,1342.625,-72.856,Series_RC,360.0,68.0
3,1093.973,-69.557,1110.598,-69.455,Series_RC,360.0,68.0
4,943.437,-65.765,948.45,-65.639,Series_RC,360.0,68.0
5,823.935,-61.948,828.501,-61.892,Series_RC,360.0,68.0
6,752.652,-59.32,761.829,-58.829,Series_RC,360.0,68.0
7,688.706,-55.624,691.335,-55.687,Series_RC,360.0,68.0
8,638.502,-53.112,642.202,-53.69,Series_RC,360.0,68.0
9,593.734,-50.451,597.575,-50.854,Series_RC,360.0,68.0
10,551.18,-46.97,554.549,-46.257,Series_RC,360.0,68.0
11,526.726,-43.4,529.749,-43.15,Series_RC,360.0,68.0
12,504.628,-38.958,507.139,-39.343,Series_RC,360.0,68.0
13,475.422,-34.776,480.66,-35.514,Series_RC,360.0,68.0
14,447.822,-31.976,456.763,-32.404,Series_RC,360.0,68.0
0,2587.356,-83.781,2578.54,-81.879,Series_RC,360.0,68.0
1,1741.82,-78.593,1725.296,-77.65,Series_RC,360.0,68.0
2,1349.134,-76.38,1342.632,-72.86,Series_RC,360.0,68.0
3,1089.163,-72.72,1110.576,-69.458,Series_RC,360.0,68.0
4,932.707,-69.48,948.3,-65.642,Series_RC,360.0,68.0
5,815.923,-66.403,828.489,-61.896,Series_RC,360.0,68.0
6,743.377,-63.844,761.81,-58.834,Series_RC,360.0,68.0
