Index,Magnitude,Phase,AccMagnitude,AccPhase,Label,Value_R,Value_C
0,3718.335,-30.382,3718.335,-30.382,Series_RC,3000.0,100.0
1,3409.36,-21.973,3409.36,-21.973,Series_RC,3000.0,100.0
2,3305.343,-16.356,3305.343,-16.356,Series_RC,3000.0,100.0
3,3273.434,-13.158,3273.434,-13.158,Series_RC,3000.0,100.0
4,3232.554,-11.465,3232.554,-11.465,Series_RC,3000.0,100.0
5,3220.244,-10.79,3220.244,-10.79,Series_RC,3000.0,100.0
6,3198.263,-9.383,3198.263,-9.383,Series_RC,3000.0,100.0
7,3164.195,-8.831,3164.195,-8.831,Series_RC,3000.0,100.0
8,3153.655,-6.98,3153.655,-6.98,Series_RC,3000.0,100.0
9,3122.703,-6.641,3122.703,-6.641,Series_RC,3000.0,100.0
10,3152.497,-6.378,3152.497,-6.378,Series_RC,3000.0,100.0
11,3127.57,-5.784,3127.57,-5.784,Series_RC,3000.0,100.0
12,3126.753,-5.8,3126.753,-5.8,Series_RC,3000.0,100.0
13,3133.402,-4.93,3133.402,-4.93,Series_RC,3000.0,100.0
14,3118.829,-3.766,3118.829,-3.766,Series_RC,3000.0,100.0
0,3685.751,-30.805,3718.303,-30.382,Series_RC,3000.0,100.0
1,3495.34,-21.664,3409.122,-21.973,Series_RC,3000.0,100.0
2,3304.648,-16.367,3305.343,-16.356,Series_RC,3000.0,100.0
3,3253.932,-13.947,3273.414,-13.158,Series_RC,3000.0,100.0
4,3231.879,-11.997,3232.554,-11.466,Series_RC,3000.0,100.0
5,3193.402,-10.557,3220.217,-10.79,Series_RC,3000.0,100.0
6,3199.95,-9.608,3198.265,-9.383,Series_RC,3000.0,100.0
7,3154.767,-9.69,3164.186,-8.832,Series_RC,3000.0,100.0
8,3161.754,-7.512,3153.663,-6.98,Series_RC,3000.0,100.0
9,3100.842,-7.76,3122.682,-6.642,Series_RC,3000.0,100.0
10,3153.343,-6.763,3152.498,-6.378,Series_RC,3000.0,100.0
11,3113.358,-6.294,3127.43,-5.785,Series_RC,3000.0,100.0
12,3118.606,-5.408,3126.745,-5.8,Series_RC,3000.0,100.0
13,3130.26,-4.633,3133.399,-4.93,Series_RC,3000.0,100.0
