Index,Magnitude,Phase,AccMagnitude,AccPhase,Label,Value_R,Value_C
0,139435.593,-147.19,139435.593,-147.19,nothing,0.0,0.0
1,170791.421,-105.27,170791.421,-105.27,nothing,0.0,0.0
2,176258.484,-169.836,176258.484,-169.836,nothing,0.0,0.0
3,135388.687,169.689,135388.687,169.689,nothing,0.0,0.0
4,215221.218,176.168,215221.218,176.168,nothing,0.0,0.0
5,196589.843,175.297,196589.843,175.297,nothing,0.0,0.0
6,171606.546,-163.614,171606.546,-163.614,nothing,0.0,0.0
7,170654.515,-171.446,170654.515,-171.446,nothing,0.0,0.0
8,208725.359,-163.435,208725.359,-163.435,nothing,0.0,0.0
9,196887.93,-158.626,196887.93,-158.626,nothing,0.0,0.0
10,177338.89,-168.84,177338.89,-168.84,nothing,0.0,0.0
11,214331.953,-157.76,214331.953,-157.76,nothing,0.0,0.0
12,208354.593,-161.634,208354.593,-161.634,nothing,0.0,0.0
13,172625.78,-160.782,172625.78,-160.782,nothing,0.0,0.0
14,177898.859,-152.673,177898.859,-152.673,nothing,0.0,0.0
0,1171894.875,98.622,140468.31,-146.944,nothing,0.0,0.0
1,163993.812,-45.572,170784.609,-105.21,nothing,0.0,0.0
2,1542996.75,130.869,177625.218,-169.535,nothing,0.0,0.0
3,441958.31,-108.93,135695.25,169.411,nothing,0.0,0.0
4,333872.593,47.278,215339.875,176.39,nothing,0.0,0.0
5,700793.187,-26.154,197094.31,175.96,nothing,0.0,0.0
6,621979.125,18.43,172056.906,-163.433,nothing,0.0,0.0
7,924595.62,78.518,171408.437,-171.196,nothing,0.0,0.0
8,666351.437,51.747,209182.984,-163.219,nothing,0.0,0.0
9,940958.562,9.166,197631.156,-158.458,nothing,0.0,0.0
10,640559.125,43.648,177802.93,-167.872,nothing,0.0,0.0
11,475445.62,39.437,214593.62,-157.563,nothing,0.0,0.0
12,750220.125,20.472,208896.437,-161.452,nothing,0.0,0.0
13,500164.156,19.448,172952.609,-160.602,nothing,0.0,0.0
14,594281.5,24.981,178315.25,-152.495,nothing,0.0,0.0
0,360081.312,111.504,140687.64,-146.686,nothing,0.0,0.0
1,183087.625,68.857,170796.906,-105.36,nothing,0.0,0.0
2,680353.562,86.358,178127.937,-169.279,nothing,0.0,0.0
3,378817.0,-36.914,135938.375,169.204,nothing,0.0,0.0
4,374421.812,-11.968,215498.953,175.851,nothing,0.0,0.0
5,535006.375,-26.31,197431.937,174.895,nothing,0.0,0.0
6,1067465.125,-110.969,172952.296,-163.38,nothing,0.0,0.0
7,1662876.375,93.626,172899.89,-170.931,nothing,0.0,0.0
8,688641.375,70.853,209662.421,-162.985,nothing,0.0,0.0
9,632352.687,-12.3,198065.875,-158.312,nothing,0.0,0.0
10,607430.187,81.7,178231.718,-167.623,nothing,0.0,0.0
11,922311.812,14.597,215300.765,-157.391,nothing,0.0,0.0
12,586664.875,9.51,209274.203,-161.281,nothing,0.0,0.0
13,1816598.0,16.307,174596.234,-160.425,nothing,0.0,0.0
14,541768.875,-18.706,178678.703,-152.361,nothing,0.0,0.0
0,331647.343,112.469,140878.593,-146.427,nothing,0.0,0.0
1,191307.578,67.306,170817.421,-104.864,nothing,0.0,0.0
2,834786.5,86.893,178784.593,-169.23,nothing,0.0,0.0
3,354133.187,-35.581,136156.562,169.0,nothing,0.0,0.0
4,404361.75,-8.928,215687.812,175.666,nothing,0.0,0.0
5,487509.406,-23.742,197722.15,174.696,nothing,0.0,0.0
6,870170.62,-101.964,173649.5,-163.319,nothing,0.0,0.0
7,2559029.75,79.179,175286.0,-170.681,nothing,0.0,0.0
