timestamp,data
2026-07-02T11:53:55.668559,Project Codename: ColorfulFlower v1.1
2026-07-02T11:53:55.668559,Authors: Bilel Ben Atitallah & Ahmed Yahia Kallel
2026-07-02T11:53:55.668559,"Starting DAC, TIM3, DMA"
2026-07-02T11:53:55.669561,Calibrating ADCs
2026-07-02T11:53:55.785078,"Starting ADC1/2, TIM2, DMA"
2026-07-02T11:53:55.785078,Forwarding to main loop...
2026-07-02T11:53:56.010827,"0, 2070.478,-32.376,2070.478,-32.376"
2026-07-02T11:53:56.011830,"1, 1766.500,-42.989,1766.500,-42.989"
2026-07-02T11:53:56.011830,"2, 1524.866,-50.192,1524.866,-50.192"
2026-07-02T11:53:56.011830,"3, 1314.312,-57.75,1314.312,-57.75"
2026-07-02T11:53:56.013826,"4, 1139.487,-61.591,1139.487,-61.591"
2026-07-02T11:53:56.013826,"5, 1002.325,-63.648,1002.325,-63.648"
2026-07-02T11:53:56.014828,"6, 905.711,-66.800,905.711,-66.800"
2026-07-02T11:53:56.126352,"7, 812.23,-69.612,812.23,-69.612"
2026-07-02T11:53:56.127358,"8, 737.481,-70.878,737.481,-70.878"
2026-07-02T11:53:56.127358,"9, 663.10,-72.416,663.10,-72.416"
2026-07-02T11:53:56.127358,"10, 576.36,-74.582,576.36,-74.582"
2026-07-02T11:53:56.127358,"11, 540.442,-75.147,540.442,-75.147"
2026-07-02T11:53:56.127358,"12, 483.991,-76.235,483.991,-76.235"
2026-07-02T11:53:56.127358,"13, 428.53,-76.817,428.53,-76.817"
2026-07-02T11:53:56.242879,"14, 379.778,-77.821,379.778,-77.821"
2026-07-02T11:53:56.242879,"0, 2130.42,-33.326,2070.538,-32.377"
2026-07-02T11:53:56.401918,"1, 1788.760,-45.18,1766.522,-42.991"
2026-07-02T11:53:56.401918,"2, 1548.150,-52.469,1524.889,-50.195"
2026-07-02T11:53:56.401918,"3, 1320.273,-58.485,1314.318,-57.76"
2026-07-02T11:53:56.402917,"4, 1146.396,-62.826,1139.494,-61.592"
2026-07-02T11:53:56.528439,"5, 1014.614,-66.167,1002.337,-63.650"
2026-07-02T11:53:56.528439,"6, 928.333,-68.321,905.733,-66.802"
2026-07-02T11:53:56.529437,"7, 829.515,-70.756,812.40,-69.613"
2026-07-02T11:53:56.529437,"8, 751.69,-72.742,737.495,-70.880"
2026-07-02T11:53:56.529437,"9, 682.839,-74.518,663.30,-72.418"
2026-07-02T11:53:56.529437,"10, 588.706,-76.6,576.49,-74.584"
2026-07-02T11:53:56.529437,"11, 550.378,-77.112,540.452,-75.149"
2026-07-02T11:53:56.530438,"12, 482.734,-78.403,483.990,-76.237"
2026-07-02T11:53:56.530438,"13, 434.755,-80.112,428.60,-76.820"
2026-07-02T11:53:56.530438,"14, 387.955,-80.382,379.786,-77.824"
2026-07-02T11:53:56.642964,"0, 2065.23,-32.460,2070.532,-32.377"
2026-07-02T11:53:56.642964,"1, 1745.584,-42.947,1766.502,-42.991"
2026-07-02T11:53:56.643967,"2, 1504.889,-49.813,1524.869,-50.194"
2026-07-02T11:53:56.763999,"3, 1283.836,-56.22,1314.288,-57.75"
2026-07-02T11:53:56.763999,"4, 1126.560,-61.330,1139.481,-61.592"
2026-07-02T11:53:56.763999,"5, 1011.448,-63.47,1002.346,-63.650"
2026-07-02T11:53:56.763999,"6, 886.652,-64.783,905.714,-66.800"
2026-07-02T11:53:56.764998,"7, 816.213,-66.964,812.45,-69.610"
2026-07-02T11:53:56.764998,"8, 714.817,-70.368,737.472,-70.880"
2026-07-02T11:53:56.764998,"9, 674.300,-71.571,663.41,-72.417"
2026-07-02T11:53:56.764998,"10, 580.503,-72.717,576.53,-74.582"
2026-07-02T11:53:56.764998,"11, 528.569,-73.777,540.440,-75.148"
2026-07-02T11:53:56.764998,"12, 482.814,-74.563,483.989,-76.235"
2026-07-02T11:53:56.765998,"13, 423.589,-74.29,428.55,-76.818"
2026-07-02T11:53:56.765998,"14, 381.809,-76.589,379.788,-77.823"
2026-07-02T11:53:56.991566,"0, 2083.748,-32.167,2070.545,-32.377"
2026-07-02T11:53:56.992566,"1, 1739.546,-42.748,1766.475,-42.991"
