timestamp,data
2026-07-02T12:31:24.901151,Project Codename: ColorfulFlower v1.1
2026-07-02T12:31:24.901151,Authors: Bilel Ben Atitallah & Ahmed Yahia Kallel
2026-07-02T12:31:24.902145,"Starting DAC, TIM3, DMA"
2026-07-02T12:31:24.902145,Calibrating ADCs
2026-07-02T12:31:24.967177,"Starting ADC1/2, TIM2, DMA"
2026-07-02T12:31:24.967177,Forwarding to main loop...
2026-07-02T12:31:25.112286,"0, 2942.12,-20.686,2942.12,-20.686"
2026-07-02T12:31:25.179837,"1, 2665.51,-29.415,2665.51,-29.415"
2026-07-02T12:31:25.180831,"2, 2505.79,-35.150,2505.79,-35.150"
2026-07-02T12:31:25.180831,"3, 2273.495,-42.248,2273.495,-42.248"
2026-07-02T12:31:25.289359,"4, 2064.698,-47.544,2064.698,-47.544"
2026-07-02T12:31:25.289359,"5, 1887.939,-50.712,1887.939,-50.712"
2026-07-02T12:31:25.289359,"6, 1751.81,-54.539,1751.81,-54.539"
2026-07-02T12:31:25.290364,"7, 1597.382,-57.908,1597.382,-57.908"
2026-07-02T12:31:25.290364,"8, 1474.106,-59.751,1474.106,-59.751"
2026-07-02T12:31:25.290364,"9, 1354.816,-62.452,1354.816,-62.452"
2026-07-02T12:31:25.405894,"10, 1189.23,-65.565,1189.23,-65.565"
2026-07-02T12:31:25.405894,"11, 1123.677,-66.834,1123.677,-66.834"
2026-07-02T12:31:25.406894,"12, 1006.165,-69.520,1006.165,-69.520"
2026-07-02T12:31:25.406894,"13, 907.489,-70.605,907.489,-70.605"
2026-07-02T12:31:25.406894,"14, 808.413,-72.60,808.413,-72.60"
2026-07-02T12:31:25.625691,"0, 2906.356,-20.462,2941.977,-20.685"
2026-07-02T12:31:25.627697,"1, 2700.974,-30.278,2665.87,-29.416"
2026-07-02T12:31:25.628695,"2, 2490.738,-35.384,2505.65,-35.150"
2026-07-02T12:31:25.628695,"3, 2255.827,-41.778,2273.477,-42.247"
2026-07-02T12:31:25.628695,"4, 2040.815,-48.68,2064.674,-47.545"
2026-07-02T12:31:25.628695,"5, 1880.451,-51.583,1887.931,-50.713"
2026-07-02T12:31:25.629696,"6, 1747.69,-54.989,1751.77,-54.539"
2026-07-02T12:31:25.737231,"7, 1585.762,-58.728,1597.371,-57.909"
2026-07-02T12:31:25.737231,"8, 1464.813,-60.772,1474.96,-59.752"
2026-07-02T12:31:25.737231,"9, 1347.189,-63.191,1354.808,-62.453"
2026-07-02T12:31:25.738236,"10, 1181.502,-66.469,1189.15,-65.566"
2026-07-02T12:31:25.856775,"11, 1117.755,-67.766,1123.671,-66.835"
2026-07-02T12:31:25.856775,"12, 997.945,-70.103,1006.157,-69.520"
2026-07-02T12:31:25.857776,"13, 902.303,-71.815,907.484,-70.606"
2026-07-02T12:31:25.857776,"14, 808.903,-73.631,808.413,-72.62"
2026-07-02T12:31:25.857776,"0, 2976.816,-21.161,2942.11,-20.686"
2026-07-02T12:31:25.858779,"1, 2771.497,-29.990,2665.194,-29.416"
2026-07-02T12:31:25.858779,"2, 2545.920,-37.674,2505.106,-35.153"
2026-07-02T12:31:25.858779,"3, 2315.895,-43.642,2273.520,-42.249"
2026-07-02T12:31:25.858779,"4, 2089.984,-48.721,2064.699,-47.546"
2026-07-02T12:31:25.858779,"5, 1899.365,-53.288,1887.943,-50.715"
2026-07-02T12:31:25.965309,"6, 1789.432,-55.967,1751.116,-54.541"
2026-07-02T12:31:25.966308,"7, 1635.848,-59.176,1597.409,-57.910"
2026-07-02T12:31:25.966308,"8, 1498.992,-61.609,1474.121,-59.754"
2026-07-02T12:31:25.966308,"9, 1384.664,-64.313,1354.838,-62.455"
2026-07-02T12:31:26.083538,"10, 1209.931,-67.118,1189.36,-65.567"
2026-07-02T12:31:26.083538,"11, 1137.372,-68.672,1123.685,-66.837"
2026-07-02T12:31:26.083538,"12, 1005.386,-70.825,1006.156,-69.521"
2026-07-02T12:31:26.084543,"13, 907.683,-73.188,907.484,-70.609"
2026-07-02T12:31:26.084543,"14, 821.17,-74.872,808.426,-72.65"
2026-07-02T12:31:26.231584,"0, 3004.813,-20.615,2942.74,-20.686"
2026-07-02T12:31:26.231584,"1, 2772.360,-30.216,2665.301,-29.417"
2026-07-02T12:31:26.292108,"2, 2567.581,-37.241,2505.168,-35.155"
2026-07-02T12:31:26.292108,"3, 2358.469,-43.569,2273.605,-42.250"
2026-07-02T12:31:26.293112,"4, 2110.699,-48.430,2064.745,-47.547"
2026-07-02T12:31:26.293112,"5, 1924.889,-52.901,1887.980,-50.717"
2026-07-02T12:31:26.293112,"6, 1810.156,-55.712,1751.175,-54.542"
2026-07-02T12:31:26.293112,"7, 1660.106,-58.600,1597.472,-57.911"
2026-07-02T12:31:26.294114,"8, 1518.212,-61.4,1474.165,-59.755"
2026-07-02T12:31:26.294114,"9, 1401.686,-63.711,1354.885,-62.456"
2026-07-02T12:31:26.294114,"10, 1224.865,-66.547,1189.72,-65.568"
2026-07-02T12:31:26.294114,"11, 1150.414,-67.933,1123.712,-66.838"
2026-07-02T12:31:26.295189,"12, 1016.520,-70.55,1006.166,-69.522"
2026-07-02T12:31:26.302703,"13, 917.998,-72.149,907.495,-70.610"
2026-07-02T12:31:26.303702,"14, 834.322,-73.687,808.452,-72.66"
2026-07-02T12:31:26.534567,"0, 2895.724,-19.859,2942.28,-20.685"
2026-07-02T12:31:26.535566,"1, 2687.383,-27.411,2665.323,-29.415"
2026-07-02T12:31:26.535566,"2, 2492.213,-34.329,2505.155,-35.154"
2026-07-02T12:31:26.605965,"3, 2222.304,-41.243,2273.553,-42.249"
2026-07-02T12:31:26.605965,"4, 2055.233,-45.820,2064.735,-47.545"
2026-07-02T12:31:26.605965,"5, 1879.666,-49.940,1887.971,-50.717"
2026-07-02T12:31:26.606958,"6, 1747.444,-52.888,1751.171,-54.540"
2026-07-02T12:31:26.606958,"7, 1586.506,-56.478,1597.461,-57.910"
2026-07-02T12:31:26.606958,"8, 1489.220,-58.926,1474.181,-59.754"
2026-07-02T12:31:26.607957,"9, 1338.910,-60.193,1354.869,-62.454"
2026-07-02T12:31:26.715480,"10, 1186.943,-63.503,1189.70,-65.566"
2026-07-02T12:31:26.716480,"11, 1124.754,-64.177,1123.713,-66.835"
2026-07-02T12:31:26.716480,"12, 1015.67,-66.677,1006.175,-69.519"
2026-07-02T12:31:26.716480,"13, 907.364,-67.759,907.494,-70.608"
2026-07-02T12:31:26.824001,"14, 805.624,-69.4,808.449,-72.63"
2026-07-02T12:31:26.931526,"0, 3034.951,-20.834,2942.121,-20.685"
2026-07-02T12:31:26.931526,"1, 2781.214,-30.131,2665.439,-29.416"
2026-07-02T12:31:26.932530,"2, 2561.428,-37.260,2505.211,-35.156"
2026-07-02T12:31:27.052047,"3, 2325.993,-44.551,2273.606,-42.251"
2026-07-02T12:31:27.052047,"4, 2095.697,-48.888,2064.766,-47.547"
2026-07-02T12:31:27.053052,"5, 1912.927,-53.389,1887.996,-50.719"
2026-07-02T12:31:27.053052,"6, 1802.577,-56.264,1751.223,-54.542"
2026-07-02T12:31:27.053052,"7, 1641.222,-59.293,1597.505,-57.911"
2026-07-02T12:31:27.053052,"8, 1503.340,-61.714,1474.210,-59.756"
2026-07-02T12:31:27.053052,"9, 1384.306,-64.491,1354.898,-62.456"
2026-07-02T12:31:27.054047,"10, 1209.741,-67.188,1189.91,-65.568"
2026-07-02T12:31:27.054047,"11, 1138.880,-68.839,1123.728,-66.837"
2026-07-02T12:31:27.054047,"12, 1004.766,-70.760,1006.174,-69.520"
2026-07-02T12:31:27.054047,"13, 910.926,-73.395,907.498,-70.610"
2026-07-02T12:31:27.055047,"14, 820.25,-74.526,808.460,-72.66"
2026-07-02T12:31:27.269023,"0, 2894.877,-20.515,2942.74,-20.685"
2026-07-02T12:31:27.270022,"1, 2681.72,-29.187,2665.455,-29.416"
2026-07-02T12:31:27.270022,"2, 2480.832,-35.484,2505.187,-35.157"
2026-07-02T12:31:27.270531,"3, 2204.4,-41.543,2273.536,-42.250"
2026-07-02T12:31:27.270531,"4, 2052.979,-46.578,2064.755,-47.546"
2026-07-02T12:31:27.271539,"5, 1861.579,-49.784,1887.970,-50.718"
2026-07-02T12:31:27.271539,"6, 1730.241,-53.741,1751.202,-54.541"
2026-07-02T12:31:27.271539,"7, 1579.790,-56.965,1597.487,-57.910"
2026-07-02T12:31:27.272539,"8, 1471.881,-58.852,1474.207,-59.755"
2026-07-02T12:31:27.272539,"9, 1346.611,-61.321,1354.890,-62.455"
2026-07-02T12:31:27.272539,"10, 1164.997,-63.421,1189.67,-65.566"
2026-07-02T12:31:27.378061,"11, 1127.357,-65.166,1123.732,-66.835"
2026-07-02T12:31:27.379061,"12, 993.130,-68.73,1006.161,-69.519"
2026-07-02T12:31:27.379061,"13, 908.170,-69.406,907.499,-70.609"
2026-07-02T12:31:27.485252,"14, 798.625,-70.778,808.451,-72.64"
2026-07-02T12:31:27.592770,"0, 2926.378,-20.336,2942.58,-20.685"
2026-07-02T12:31:27.592770,"1, 2708.743,-28.430,2665.498,-29.415"
2026-07-02T12:31:27.593771,"2, 2494.701,-34.526,2505.177,-35.156"
2026-07-02T12:31:27.711302,"3, 2287.702,-41.528,2273.550,-42.250"
2026-07-02T12:31:27.711302,"4, 2036.449,-47.514,2064.726,-47.546"
2026-07-02T12:31:27.712297,"5, 1900.99,-50.842,1887.982,-50.718"
2026-07-02T12:31:27.712297,"6, 1754.990,-54.270,1751.205,-54.541"
2026-07-02T12:31:27.712297,"7, 1599.190,-57.786,1597.489,-57.910"
2026-07-02T12:31:27.712297,"8, 1468.618,-59.914,1474.202,-59.756"
2026-07-02T12:31:27.713296,"9, 1352.244,-61.938,1354.887,-62.454"
2026-07-02T12:31:27.713296,"10, 1193.188,-65.548,1189.71,-65.566"
2026-07-02T12:31:27.713296,"11, 1126.793,-66.721,1123.735,-66.835"
2026-07-02T12:31:27.713296,"12, 1009.239,-69.298,1006.164,-69.519"
2026-07-02T12:31:27.714296,"13, 907.127,-70.853,907.498,-70.609"
2026-07-02T12:31:27.714296,"14, 807.719,-71.807,808.450,-72.64"
2026-07-02T12:31:27.928341,"0, 2788.701,-18.907,2941.904,-20.683"
2026-07-02T12:31:27.929342,"1, 2635.975,-29.911,2665.468,-29.415"
2026-07-02T12:31:27.929342,"2, 2512.227,-44.616,2505.184,-35.166"
2026-07-02T12:31:27.929342,"3, 2532.82,-50.864,2273.809,-42.258"
2026-07-02T12:31:27.930338,"4, 2412.801,-64.43,2065.74,-47.562"
2026-07-02T12:31:27.930338,"5, 2079.513,-74.658,1888.174,-50.742"
2026-07-02T12:31:27.930338,"6, 1546.171,-60.512,1751.0,-54.547"
2026-07-02T12:31:27.931338,"7, 1631.491,-79.108,1597.523,-57.931"
2026-07-02T12:31:27.931338,"8, 1350.329,-72.720,1474.78,-59.769"
2026-07-02T12:31:27.931338,"9, 1415.244,-77.201,1354.948,-62.469"
2026-07-02T12:31:28.035858,"10, 1275.62,-85.606,1189.157,-65.586"
2026-07-02T12:31:28.035858,"11, 1141.580,-90.815,1123.753,-66.859"
2026-07-02T12:31:28.035858,"12, 1053.28,-90.50,1006.211,-69.539"
2026-07-02T12:31:28.035858,"13, 1072.801,-102.650,907.664,-70.641"
2026-07-02T12:31:28.035858,"14, 807.344,-98.20,808.449,-72.90"
2026-07-02T12:31:28.249596,"0, 2909.562,-20.364,2941.872,-20.683"
2026-07-02T12:31:28.249596,"1, 2697.400,-28.470,2665.500,-29.414"
2026-07-02T12:31:28.408636,"2, 2505.459,-35.504,2505.184,-35.166"
2026-07-02T12:31:28.408636,"3, 2229.902,-42.28,2273.765,-42.258"
2026-07-02T12:31:28.408636,"4, 2035.955,-48.79,2065.45,-47.563"
2026-07-02T12:31:28.409635,"5, 1872.543,-51.162,1888.158,-50.743"
2026-07-02T12:31:28.409635,"6, 1739.962,-55.120,1750.989,-54.547"
2026-07-02T12:31:28.409635,"7, 1593.373,-58.497,1597.519,-57.932"
2026-07-02T12:31:28.410636,"8, 1461.717,-60.669,1474.66,-59.769"
2026-07-02T12:31:28.410636,"9, 1342.490,-63.107,1354.935,-62.470"
2026-07-02T12:31:28.410636,"10, 1180.964,-66.333,1189.148,-65.587"
2026-07-02T12:31:28.411637,"11, 1115.295,-67.946,1123.744,-66.860"
2026-07-02T12:31:28.411637,"12, 1000.516,-69.962,1006.205,-69.540"
2026-07-02T12:31:28.449636,"13, 900.824,-71.695,907.657,-70.642"
2026-07-02T12:31:28.450636,"14, 809.241,-73.454,808.450,-72.91"
2026-07-02T12:31:28.488391,"0, 2786.927,-19.848,2941.717,-20.682"
2026-07-02T12:31:28.493407,"1, 3015.614,-33.380,2665.850,-29.418"
2026-07-02T12:31:28.497407,"2, 2859.580,-38.985,2505.538,-35.170"
2026-07-02T12:31:28.501406,"3, 2909.579,-53.645,2274.401,-42.269"
2026-07-02T12:31:28.610941,"4, 1884.606,-65.316,2064.865,-47.580"
2026-07-02T12:31:28.610941,"5, 2068.434,-53.312,1888.338,-50.745"
2026-07-02T12:31:28.611937,"6, 1579.195,-63.565,1750.817,-54.556"
2026-07-02T12:31:28.611937,"7, 1624.224,-68.309,1597.545,-57.942"
2026-07-02T12:31:28.611937,"8, 1523.146,-81.38,1474.115,-59.791"
2026-07-02T12:31:28.611937,"9, 1411.488,-89.588,1354.992,-62.497"
2026-07-02T12:31:28.611937,"10, 1182.804,-79.776,1189.142,-65.601"
2026-07-02T12:31:28.612935,"11, 1073.293,-93.16,1123.694,-66.886"
2026-07-02T12:31:28.612935,"12, 986.606,-94.76,1006.185,-69.564"
2026-07-02T12:31:28.612935,"13, 923.528,-100.432,907.673,-70.672"
2026-07-02T12:31:28.612935,"14, 947.81,-108.59,808.588,-72.127"
2026-07-02T12:31:28.826282,"0, 2936.615,-20.667,2941.712,-20.682"
2026-07-02T12:31:28.834281,"1, 2739.713,-28.402,2665.924,-29.417"
2026-07-02T12:31:28.835283,"2, 2503.669,-35.137,2505.536,-35.170"
2026-07-02T12:31:28.940535,"3, 2244.220,-42.106,2274.370,-42.269"
2026-07-02T12:31:28.940535,"4, 2049.408,-47.256,2064.849,-47.580"
2026-07-02T12:31:28.940535,"5, 1901.963,-50.891,1888.352,-50.745"
2026-07-02T12:31:28.941534,"6, 1758.619,-54.661,1750.825,-54.556"
2026-07-02T12:31:28.941534,"7, 1605.688,-58.7,1597.553,-57.942"
2026-07-02T12:31:28.941534,"8, 1475.531,-60.93,1474.116,-59.791"
2026-07-02T12:31:28.942534,"9, 1358.664,-62.410,1354.996,-62.497"
2026-07-02T12:31:28.942534,"10, 1194.458,-65.678,1189.147,-65.601"
2026-07-02T12:31:28.942534,"11, 1128.908,-66.910,1123.699,-66.887"
