timestamp,data
2026-07-02T12:52:32.090517,Project Codename: ColorfulFlower v1.1
2026-07-02T12:52:32.099519,Authors: Bilel Ben Atitallah & Ahmed Yahia Kallel
2026-07-02T12:52:32.100518,"Starting DAC, TIM3, DMA"
2026-07-02T12:52:32.100518,Calibrating ADCs
2026-07-02T12:52:32.100518,"Starting ADC1/2, TIM2, DMA"
2026-07-02T12:52:32.100518,Forwarding to main loop...
2026-07-02T12:52:32.437642,"0, 759.766,-12.37,759.766,-12.37"
2026-07-02T12:52:32.437642,"1, 744.127,-16.638,744.127,-16.638"
2026-07-02T12:52:32.445643,"2, 711.654,-21.364,711.654,-21.364"
2026-07-02T12:52:32.445643,"3, 681.705,-27.414,681.705,-27.414"
2026-07-02T12:52:32.447641,"4, 659.487,-32.82,659.487,-32.82"
2026-07-02T12:52:32.448643,"5, 623.266,-34.999,623.266,-34.999"
2026-07-02T12:52:32.448643,"6, 594.946,-38.932,594.946,-38.932"
2026-07-02T12:52:32.448643,"7, 563.953,-42.510,563.953,-42.510"
2026-07-02T12:52:32.448643,"8, 531.647,-44.928,531.647,-44.928"
2026-07-02T12:52:32.449647,"9, 498.865,-47.553,498.865,-47.553"
2026-07-02T12:52:32.457005,"10, 454.132,-52.13,454.132,-52.13"
2026-07-02T12:52:32.457005,"11, 437.393,-53.828,437.393,-53.828"
2026-07-02T12:52:32.457005,"12, 401.342,-56.998,401.342,-56.998"
2026-07-02T12:52:32.457005,"13, 362.690,-60.267,362.690,-60.267"
2026-07-02T12:52:32.457005,"14, 327.223,-61.540,327.223,-61.540"
2026-07-02T12:52:32.875828,"0, 756.764,-11.521,759.763,-12.37"
2026-07-02T12:52:32.875828,"1, 750.375,-16.894,744.133,-16.639"
2026-07-02T12:52:32.980349,"2, 714.156,-21.867,711.657,-21.365"
2026-07-02T12:52:32.980349,"3, 675.926,-27.479,681.699,-27.414"
2026-07-02T12:52:32.980349,"4, 651.923,-32.281,659.479,-32.82"
2026-07-02T12:52:32.981353,"5, 624.568,-35.692,623.267,-35.0"
2026-07-02T12:52:32.981353,"6, 594.481,-39.542,594.945,-38.932"
2026-07-02T12:52:32.981353,"7, 563.355,-42.946,563.952,-42.510"
2026-07-02T12:52:33.078515,"8, 533.922,-45.807,531.649,-44.929"
2026-07-02T12:52:33.078515,"9, 504.94,-48.386,498.870,-47.553"
2026-07-02T12:52:33.079515,"10, 459.631,-52.779,454.138,-52.14"
2026-07-02T12:52:33.187043,"11, 439.680,-54.598,437.395,-53.828"
2026-07-02T12:52:33.187043,"12, 398.381,-58.400,401.339,-57.0"
2026-07-02T12:52:33.187043,"13, 361.153,-60.518,362.689,-60.268"
2026-07-02T12:52:33.188043,"14, 329.914,-63.666,327.226,-61.543"
2026-07-02T12:52:33.188043,"0, 763.21,-11.837,759.766,-12.37"
2026-07-02T12:52:33.188043,"1, 752.273,-17.592,744.141,-16.640"
2026-07-02T12:52:33.189043,"2, 718.8,-22.56,711.663,-21.365"
2026-07-02T12:52:33.189043,"3, 682.726,-26.773,681.700,-27.414"
2026-07-02T12:52:33.189043,"4, 656.586,-31.446,659.476,-32.81"
2026-07-02T12:52:33.189043,"5, 622.598,-35.64,623.266,-35.0"
2026-07-02T12:52:33.189043,"6, 593.632,-39.241,594.944,-38.933"
2026-07-02T12:52:33.190048,"7, 566.953,-42.560,563.955,-42.510"
2026-07-02T12:52:33.283568,"8, 538.13,-45.87,531.656,-44.929"
2026-07-02T12:52:33.284568,"9, 504.296,-47.734,498.875,-47.554"
2026-07-02T12:52:33.390022,"10, 458.695,-52.2,454.142,-52.14"
2026-07-02T12:52:33.391021,"11, 435.694,-54.38,437.394,-53.829"
2026-07-02T12:52:33.391021,"12, 401.607,-56.944,401.339,-57.0"
2026-07-02T12:52:33.392021,"13, 366.521,-59.767,362.693,-60.267"
2026-07-02T12:52:33.392021,"14, 331.478,-61.965,327.230,-61.543"
2026-07-02T12:52:33.435550,"0, 753.866,-12.240,759.760,-12.37"
2026-07-02T12:52:33.435550,"1, 730.29,-17.300,744.127,-16.640"
2026-07-02T12:52:33.446549,"2, 711.281,-21.997,711.663,-21.366"
2026-07-02T12:52:33.447553,"3, 684.919,-26.823,681.703,-27.413"
2026-07-02T12:52:33.447553,"4, 650.940,-31.634,659.468,-32.81"
