timestamp,data
2026-07-02T09:07:52.962268,Project Codename: ColorfulFlower v1.1
2026-07-02T09:07:52.962268,Authors: Bilel Ben Atitallah & Ahmed Yahia Kallel
2026-07-02T09:07:52.971272,"Starting DAC, TIM3, DMA"
2026-07-02T09:07:52.971272,Calibrating ADCs
2026-07-02T09:07:52.971272,"Starting ADC1/2, TIM2, DMA"
2026-07-02T09:07:52.971272,Forwarding to main loop...
2026-07-02T09:07:53.189248,"0, 3611.207,-89.941,3611.207,-89.941"
2026-07-02T09:07:53.192253,"1, 2392.546,-89.923,2392.546,-89.923"
2026-07-02T09:07:53.196253,"2, 1805.40,-89.517,1805.40,-89.517"
2026-07-02T09:07:53.199255,"3, 1463.736,-90.573,1463.736,-90.573"
2026-07-02T09:07:53.251631,"4, 1210.871,-91.626,1210.871,-91.626"
2026-07-02T09:07:53.291631,"5, 1030.653,-90.656,1030.653,-90.656"
2026-07-02T09:07:53.291631,"6, 909.406,-91.759,909.406,-91.759"
2026-07-02T09:07:53.292630,"7, 805.878,-92.358,805.878,-92.358"
2026-07-02T09:07:53.299630,"8, 730.649,-91.433,730.649,-91.433"
2026-07-02T09:07:53.300631,"9, 661.721,-92.357,661.721,-92.357"
2026-07-02T09:07:53.300631,"10, 560.576,-93.806,560.576,-93.806"
2026-07-02T09:07:53.301630,"11, 525.832,-92.904,525.832,-92.904"
2026-07-02T09:07:53.301630,"12, 460.415,-93.902,460.415,-93.902"
2026-07-02T09:07:53.302631,"13, 410.970,-94.146,410.970,-94.146"
2026-07-02T09:07:53.303630,"14, 368.282,-94.712,368.282,-94.712"
2026-07-02T09:07:53.527783,"0, 3626.96,-88.2,3611.222,-89.939"
2026-07-02T09:07:53.534123,"1, 2492.884,-90.232,2392.646,-89.923"
2026-07-02T09:07:53.583123,"2, 1837.477,-90.970,1805.73,-89.519"
2026-07-02T09:07:53.634649,"3, 1492.874,-90.417,1463.765,-90.573"
2026-07-02T09:07:53.634649,"4, 1228.502,-92.176,1210.888,-91.627"
2026-07-02T09:07:53.635650,"5, 1038.922,-91.858,1030.662,-90.658"
2026-07-02T09:07:53.635650,"6, 934.139,-92.749,909.431,-91.760"
2026-07-02T09:07:53.635650,"7, 818.845,-93.228,805.891,-92.359"
2026-07-02T09:07:53.635650,"8, 740.605,-92.566,730.659,-91.434"
2026-07-02T09:07:53.636650,"9, 674.528,-93.865,661.734,-92.359"
2026-07-02T09:07:53.636650,"10, 572.310,-94.543,560.588,-93.807"
2026-07-02T09:07:53.636650,"11, 533.880,-94.350,525.841,-92.906"
2026-07-02T09:07:53.637649,"12, 465.854,-95.540,460.420,-93.903"
2026-07-02T09:07:53.637649,"13, 417.640,-95.838,410.977,-94.148"
