timestamp,data
2026-07-02T13:59:25.642627,Project Codename: ColorfulFlower v1.1
2026-07-02T13:59:25.646627,Authors: Bilel Ben Atitallah & Ahmed Yahia Kallel
2026-07-02T13:59:25.649630,"Starting DAC, TIM3, DMA"
2026-07-02T13:59:25.650629,Calibrating ADCs
2026-07-02T13:59:25.653627,"Starting ADC1/2, TIM2, DMA"
2026-07-02T13:59:25.655627,Forwarding to main loop...
2026-07-02T13:59:25.961084,"0, 3702.892,0.425,3702.892,0.425"
2026-07-02T13:59:25.961084,"1, 3655.349,0.742,3655.349,0.742"
2026-07-02T13:59:25.971085,"2, 3682.938,0.180,3682.938,0.180"
2026-07-02T13:59:25.971085,"3, 3700.61,0.397,3700.61,0.397"
2026-07-02T13:59:25.973085,"4, 3682.383,0.218,3682.383,0.218"
2026-07-02T13:59:25.974091,"5, 3685.941,0.122,3685.941,0.122"
2026-07-02T13:59:25.974091,"6, 3712.75,0.39,3712.75,0.39"
2026-07-02T13:59:25.974091,"7, 3699.860,0.231,3699.860,0.231"
2026-07-02T13:59:25.974091,"8, 3688.976,0.53,3688.976,0.53"
2026-07-02T13:59:25.975086,"9, 3669.61,0.199,3669.61,0.199"
2026-07-02T13:59:25.975086,"10, 3699.830,0.310,3699.830,0.310"
2026-07-02T13:59:25.977086,"11, 3685.51,0.20,3685.51,0.20"
2026-07-02T13:59:25.979084,"12, 3693.538,0.186,3693.538,0.186"
2026-07-02T13:59:25.982715,"13, 3700.736,0.142,3700.736,0.142"
2026-07-02T13:59:26.075240,"14, 3669.779,0.135,3669.779,0.135"
2026-07-02T13:59:26.283891,"0, 3581.96,0.177,3702.770,0.424"
2026-07-02T13:59:26.297897,"1, 3761.83,0.357,3655.454,0.741"
2026-07-02T13:59:26.297897,"2, 3471.464,-4.244,3682.727,0.184"
2026-07-02T13:59:26.297897,"3, 3658.793,-8.131,3700.20,0.388"
2026-07-02T13:59:26.297897,"4, 3803.796,-10.702,3682.504,0.229"
