timestamp,data
2026-07-02T13:57:16.942901,Project Codename: ColorfulFlower v1.1
2026-07-02T13:57:16.943900,Authors: Bilel Ben Atitallah & Ahmed Yahia Kallel
2026-07-02T13:57:16.943900,"Starting DAC, TIM3, DMA"
2026-07-02T13:57:16.943900,Calibrating ADCs
2026-07-02T13:57:16.943900,"Starting ADC1/2, TIM2, DMA"
2026-07-02T13:57:16.943900,Forwarding to main loop...
2026-07-02T13:57:17.290864,"0, 3066.844,0.133,3066.844,0.133"
2026-07-02T13:57:17.291864,"1, 3056.675,0.611,3056.675,0.611"
2026-07-02T13:57:17.291864,"2, 3067.741,0.227,3067.741,0.227"
2026-07-02T13:57:17.291864,"3, 3078.51,0.292,3078.51,0.292"
2026-07-02T13:57:17.293864,"4, 3074.380,0.124,3074.380,0.124"
2026-07-02T13:57:17.293864,"5, 3073.363,0.96,3073.363,0.96"
2026-07-02T13:57:17.293864,"6, 3085.868,0.44,3085.868,0.44"
2026-07-02T13:57:17.294864,"7, 3071.604,0.35,3071.604,0.35"
2026-07-02T13:57:17.294864,"8, 3074.116,0.94,3074.116,0.94"
2026-07-02T13:57:17.294864,"9, 3055.132,0.154,3055.132,0.154"
2026-07-02T13:57:17.294864,"10, 3062.807,0.210,3062.807,0.210"
2026-07-02T13:57:17.294864,"11, 3071.56,0.90,3071.56,0.90"
2026-07-02T13:57:17.295864,"12, 3062.379,0.19,3062.379,0.19"
2026-07-02T13:57:17.295864,"13, 3088.324,0.158,3088.324,0.158"
2026-07-02T13:57:17.629518,"14, 3052.569,0.29,3052.569,0.29"
2026-07-02T13:57:17.629518,"0, 3068.909,0.180,3066.846,0.133"
2026-07-02T13:57:17.629518,"1, 3071.599,-1.100,3056.690,0.611"
2026-07-02T13:57:17.629518,"2, 3066.928,0.250,3067.740,0.227"
2026-07-02T13:57:17.630515,"3, 3086.185,0.134,3078.59,0.292"
2026-07-02T13:57:17.630515,"4, 3065.395,0.397,3074.371,0.124"
2026-07-02T13:57:17.632511,"5, 3083.632,0.108,3073.374,0.95"
2026-07-02T13:57:17.632511,"6, 3071.762,0.203,3085.854,0.44"
2026-07-02T13:57:17.632511,"7, 3073.548,0.355,3071.606,0.35"
2026-07-02T13:57:17.632511,"8, 3076.824,0.440,3074.119,0.93"
2026-07-02T13:57:17.633515,"9, 3054.216,0.536,3055.131,0.155"
2026-07-02T13:57:17.633515,"10, 3059.760,0.514,3062.804,0.210"
2026-07-02T13:57:17.633515,"11, 3070.822,0.273,3071.56,0.91"
2026-07-02T13:57:17.633515,"12, 3051.267,0.502,3062.368,0.18"
2026-07-02T13:57:18.026110,"13, 3087.32,0.487,3088.323,0.158"
2026-07-02T13:57:18.026110,"14, 3049.41,0.636,3052.565,0.30"
2026-07-02T13:57:18.027112,"0, 3079.314,0.121,3066.858,0.133"
2026-07-02T13:57:18.027112,"1, 3104.45,0.180,3056.738,0.611"
2026-07-02T13:57:18.027112,"2, 3083.76,0.222,3067.755,0.227"
2026-07-02T13:57:18.028107,"3, 3080.711,0.195,3078.61,0.291"
2026-07-02T13:57:18.028107,"4, 3078.166,0.262,3074.375,0.124"
2026-07-02T13:57:18.028107,"5, 3066.586,0.102,3073.367,0.95"
2026-07-02T13:57:18.028107,"6, 3080.634,0.361,3085.848,0.43"
2026-07-02T13:57:18.029105,"7, 3068.623,0.109,3071.604,0.35"
2026-07-02T13:57:18.029105,"8, 3064.68,0.265,3074.109,0.94"
2026-07-02T13:57:18.029105,"9, 3051.652,0.72,3055.127,0.155"
2026-07-02T13:57:18.030108,"10, 3082.221,0.139,3062.823,0.210"
2026-07-02T13:57:18.030108,"11, 3069.236,0.658,3071.54,0.90"
2026-07-02T13:57:18.030108,"12, 3064.193,0.77,3062.370,0.18"
2026-07-02T13:57:18.030108,"13, 3084.883,0.802,3088.320,0.158"
2026-07-02T13:57:18.031110,"14, 3043.564,0.610,3052.556,0.29"
2026-07-02T13:57:18.359517,"0, 3052.716,0.634,3066.844,0.132"
2026-07-02T13:57:18.359517,"1, 2991.909,0.222,3056.673,0.611"
2026-07-02T13:57:18.360514,"2, 3024.81,0.37,3067.712,0.226"
2026-07-02T13:57:18.360514,"3, 3019.848,0.62,3078.3,0.291"
2026-07-02T13:57:18.360514,"4, 3026.977,0.498,3074.328,0.123"
2026-07-02T13:57:18.360514,"5, 3029.389,0.88,3073.323,0.95"
2026-07-02T13:57:18.361514,"6, 3022.159,0.161,3085.785,0.44"
2026-07-02T13:57:18.361514,"7, 3024.907,0.8,3071.557,0.35"
2026-07-02T13:57:18.361514,"8, 3025.109,0.161,3074.61,0.94"
2026-07-02T13:57:18.361514,"9, 3041.45,0.133,3055.113,0.154"
2026-07-02T13:57:18.362544,"10, 3032.489,0.61,3062.793,0.210"
2026-07-02T13:57:18.362544,"11, 3019.94,0.212,3071.2,0.90"
2026-07-02T13:57:18.700570,"12, 3022.416,0.55,3062.330,0.18"
2026-07-02T13:57:18.701571,"13, 3022.718,0.290,3088.254,0.158"
2026-07-02T13:57:18.701571,"14, 3034.541,0.354,3052.538,0.29"
2026-07-02T13:57:18.701571,"0, 3001.897,0.80,3066.779,0.132"
2026-07-02T13:57:18.702571,"1, 3047.324,0.670,3056.664,0.609"
2026-07-02T13:57:18.702571,"2, 3041.861,0.156,3067.686,0.226"
2026-07-02T13:57:18.702571,"3, 3032.227,0.423,3077.957,0.291"
2026-07-02T13:57:18.703569,"4, 3025.508,0.490,3074.279,0.123"
2026-07-02T13:57:18.703569,"5, 3020.842,0.163,3073.270,0.95"
2026-07-02T13:57:18.703569,"6, 3019.285,0.277,3085.718,0.43"
2026-07-02T13:57:18.704570,"7, 3025.537,0.353,3071.511,0.35"
2026-07-02T13:57:18.704570,"8, 3032.58,0.360,3074.19,0.94"
2026-07-02T13:57:18.704570,"9, 3037.357,0.433,3055.95,0.154"
2026-07-02T13:57:18.704570,"10, 3021.356,0.380,3062.751,0.209"
2026-07-02T13:57:18.705571,"11, 3023.108,0.509,3070.954,0.89"
2026-07-02T13:57:18.705571,"12, 3019.432,0.243,3062.287,0.18"
2026-07-02T13:57:18.705571,"13, 3015.929,0.372,3088.182,0.158"
2026-07-02T13:57:18.705571,"14, 3039.376,0.420,3052.525,0.29"
2026-07-02T13:57:18.706572,"0, 3038.594,-8.102,3066.751,0.140"
2026-07-02T13:57:19.026066,"1, 2750.972,-4.129,3056.358,0.613"
2026-07-02T13:57:19.026066,"2, 2969.168,-6.946,3067.587,0.219"
2026-07-02T13:57:19.027063,"3, 3260.966,-8.402,3078.140,0.283"
2026-07-02T13:57:19.027063,"4, 3017.7,-14.407,3074.222,0.137"
2026-07-02T13:57:19.027063,"5, 2923.198,-4.289,3073.120,0.91"
2026-07-02T13:57:19.028064,"6, 2915.668,-8.560,3085.548,0.52"
2026-07-02T13:57:19.028064,"7, 3421.503,-7.578,3071.861,0.42"
2026-07-02T13:57:19.028064,"8, 2862.472,-12.411,3073.807,0.81"
2026-07-02T13:57:19.028064,"9, 3418.79,-21.570,3055.458,0.175"
2026-07-02T13:57:19.029070,"10, 2868.436,-17.475,3062.557,0.226"
2026-07-02T13:57:19.164153,"11, 3342.787,-19.352,3071.226,0.109"
2026-07-02T13:57:19.349220,"12, 2844.440,-29.678,3062.70,0.10"
2026-07-02T13:57:19.350223,"13, 3399.528,-34.715,3088.493,0.123"
2026-07-02T13:57:19.350223,"14, 3150.404,-40.447,3052.623,0.69"
2026-07-02T13:57:19.350223,"0, 3040.860,-8.220,3066.725,0.148"
2026-07-02T13:57:19.351218,"1, 2749.590,-4.49,3056.51,0.616"
2026-07-02T13:57:19.351218,"2, 2963.555,-7.22,3067.483,0.211"
2026-07-02T13:57:19.352220,"3, 3244.194,-8.373,3078.306,0.274"
2026-07-02T13:57:19.352220,"4, 3033.554,-14.512,3074.181,0.151"
2026-07-02T13:57:19.352220,"5, 2919.88,-4.223,3072.966,0.87"
2026-07-02T13:57:19.352220,"6, 2908.354,-8.732,3085.371,0.60"
2026-07-02T13:57:19.353222,"7, 3416.115,-7.876,3072.205,0.50"
2026-07-02T13:57:19.353222,"8, 2871.458,-12.614,3073.605,0.69"
2026-07-02T13:57:19.353222,"9, 3393.314,-21.966,3055.796,0.197"
2026-07-02T13:57:19.354219,"10, 2886.988,-17.441,3062.382,0.243"
2026-07-02T13:57:19.354219,"11, 3326.839,-18.951,3071.481,0.128"
2026-07-02T13:57:19.354219,"12, 2858.882,-30.266,3061.866,0.41"
2026-07-02T13:57:19.355218,"13, 3434.814,-35.337,3088.839,0.88"
2026-07-02T13:57:19.711372,"14, 3102.559,-40.721,3052.673,0.110"
2026-07-02T13:57:19.711372,"0, 3077.903,0.476,3066.736,0.149"
2026-07-02T13:57:19.712375,"1, 3036.606,0.630,3056.32,0.616"
2026-07-02T13:57:19.712375,"2, 3071.695,0.264,3067.488,0.212"
2026-07-02T13:57:19.713380,"3, 3046.85,0.357,3078.274,0.274"
2026-07-02T13:57:19.713380,"4, 3067.729,0.182,3074.175,0.151"
2026-07-02T13:57:19.713380,"5, 3075.595,0.362,3072.969,0.86"
2026-07-02T13:57:19.714380,"6, 3059.839,0.119,3085.345,0.60"
2026-07-02T13:57:19.714380,"7, 3072.706,0.327,3072.205,0.50"
2026-07-02T13:57:19.714380,"8, 3066.148,0.330,3073.597,0.68"
2026-07-02T13:57:20.039141,"9, 3057.914,0.452,3055.798,0.197"
2026-07-02T13:57:20.040144,"10, 3074.874,0.317,3062.394,0.244"
2026-07-02T13:57:20.040144,"11, 3072.912,0.238,3071.483,0.128"
2026-07-02T13:57:20.041141,"12, 3067.744,0.218,3061.872,0.41"
2026-07-02T13:57:20.041141,"13, 3062.370,0.204,3088.813,0.87"
2026-07-02T13:57:20.041141,"14, 3052.958,0.255,3052.673,0.110"
