timestamp,data
2026-07-02T10:33:41.122372,Project Codename: ColorfulFlower v1.1
2026-07-02T10:33:41.123370,Authors: Bilel Ben Atitallah & Ahmed Yahia Kallel
2026-07-02T10:33:41.186886,"Starting DAC, TIM3, DMA"
2026-07-02T10:33:41.186886,Calibrating ADCs
2026-07-02T10:33:41.186886,"Starting ADC1/2, TIM2, DMA"
2026-07-02T10:33:41.186886,Forwarding to main loop...
2026-07-02T10:33:41.452240,"0, 5423.457,-48.13,5423.457,-48.13"
2026-07-02T10:33:41.453240,"1, 4475.114,-36.355,4475.114,-36.355"
2026-07-02T10:33:41.453240,"2, 4232.625,-28.389,4232.625,-28.389"
2026-07-02T10:33:41.518800,"3, 4117.473,-23.350,4117.473,-23.350"
2026-07-02T10:33:41.520305,"4, 3972.754,-19.974,3972.754,-19.974"
2026-07-02T10:33:41.520305,"5, 3902.28,-16.979,3902.28,-16.979"
2026-07-02T10:33:41.520305,"6, 3901.101,-15.426,3901.101,-15.426"
2026-07-02T10:33:41.626852,"7, 3851.609,-13.755,3851.609,-13.755"
2026-07-02T10:33:41.627846,"8, 3838.973,-12.86,3838.973,-12.86"
2026-07-02T10:33:41.627846,"9, 3784.940,-11.546,3784.940,-11.546"
2026-07-02T10:33:41.627846,"10, 3813.20,-9.837,3813.20,-9.837"
2026-07-02T10:33:41.627846,"11, 3782.511,-9.194,3782.511,-9.194"
2026-07-02T10:33:41.628845,"12, 3766.697,-7.974,3766.697,-7.974"
2026-07-02T10:33:41.735368,"13, 3766.693,-7.119,3766.693,-7.119"
2026-07-02T10:33:41.736368,"14, 3742.150,-6.326,3742.150,-6.326"
2026-07-02T10:33:41.841891,"0, 5604.666,-46.887,5423.638,-48.12"
2026-07-02T10:33:41.843891,"1, 4344.919,-43.355,4474.983,-36.362"
2026-07-02T10:33:41.843891,"2, 4168.999,-34.459,4232.562,-28.395"
2026-07-02T10:33:41.959925,"3, 4203.390,-31.103,4117.559,-23.358"
2026-07-02T10:33:41.960924,"4, 3825.798,-20.235,3972.607,-19.974"
2026-07-02T10:33:41.960924,"5, 3555.900,-25.459,3901.682,-16.987"
2026-07-02T10:33:41.960924,"6, 3996.830,-28.963,3901.197,-15.439"
2026-07-02T10:33:41.960924,"7, 3664.62,-30.169,3851.422,-13.771"
2026-07-02T10:33:41.960924,"8, 4709.233,-24.850,3839.843,-12.99"
2026-07-02T10:33:41.960924,"9, 3274.739,-22.544,3784.430,-11.557"
2026-07-02T10:33:41.960924,"10, 3506.422,-20.792,3812.714,-9.848"
2026-07-02T10:33:41.961924,"11, 4082.991,-19.460,3782.812,-9.204"
2026-07-02T10:33:41.961924,"12, 3827.711,-24.180,3766.758,-7.990"
2026-07-02T10:33:41.961924,"13, 4022.755,-32.485,3766.949,-7.144"
2026-07-02T10:33:41.961924,"14, 3799.508,-25.66,3742.208,-6.345"
2026-07-02T10:33:42.175969,"0, 5459.615,-46.965,5423.674,-48.11"
2026-07-02T10:33:42.175969,"1, 4550.734,-37.88,4475.59,-36.362"
2026-07-02T10:33:42.176973,"2, 4206.954,-28.16,4232.536,-28.395"
2026-07-02T10:33:42.292489,"3, 4051.875,-24.378,4117.493,-23.359"
2026-07-02T10:33:42.293489,"4, 3945.378,-20.496,3972.580,-19.975"
2026-07-02T10:33:42.293489,"5, 3901.673,-17.254,3901.682,-16.987"
2026-07-02T10:33:42.293489,"6, 3878.310,-15.296,3901.174,-15.439"
2026-07-02T10:33:42.293489,"7, 3843.630,-14.300,3851.414,-13.772"
2026-07-02T10:33:42.293489,"8, 3832.59,-12.385,3839.836,-12.99"
2026-07-02T10:33:42.293489,"9, 3781.396,-11.857,3784.427,-11.558"
2026-07-02T10:33:42.294488,"10, 3781.366,-10.349,3812.682,-9.849"
2026-07-02T10:33:42.294488,"11, 3772.795,-9.728,3782.802,-9.205"
2026-07-02T10:33:42.294488,"12, 3754.887,-8.612,3766.746,-7.991"
2026-07-02T10:33:42.294488,"13, 3765.962,-7.495,3766.948,-7.144"
2026-07-02T10:33:42.294488,"14, 3728.623,-7.10,3742.194,-6.346"
2026-07-02T10:33:42.555574,"0, 5451.358,-48.20,5423.701,-48.11"
2026-07-02T10:33:42.557082,"1, 4573.506,-37.655,4475.157,-36.364"
2026-07-02T10:33:42.557082,"2, 4278.656,-28.222,4232.583,-28.395"
2026-07-02T10:33:42.557082,"3, 4036.456,-23.141,4117.412,-23.359"
2026-07-02T10:33:42.558089,"4, 3956.619,-20.472,3972.564,-19.975"
2026-07-02T10:33:42.558089,"5, 3907.545,-17.478,3901.688,-16.988"
2026-07-02T10:33:42.558089,"6, 3897.143,-15.402,3901.169,-15.439"
2026-07-02T10:33:42.558089,"7, 3852.16,-14.21,3851.415,-13.772"
2026-07-02T10:33:42.559094,"8, 3833.656,-12.326,3839.829,-12.100"
2026-07-02T10:33:42.559094,"9, 3774.860,-11.652,3784.417,-11.558"
2026-07-02T10:33:42.608136,"10, 3774.699,-10.38,3812.644,-9.849"
2026-07-02T10:33:42.609135,"11, 3789.878,-9.162,3782.809,-9.205"
2026-07-02T10:33:42.610141,"12, 3772.280,-8.271,3766.752,-7.991"
2026-07-02T10:33:42.610141,"13, 3771.754,-7.266,3766.953,-7.145"
2026-07-02T10:33:42.610141,"14, 3726.396,-6.567,3742.178,-6.346"
2026-07-02T10:33:42.769818,"0, 5385.688,-47.511,5423.663,-48.10"
2026-07-02T10:33:42.770818,"1, 4490.5,-36.181,4475.172,-36.363"
2026-07-02T10:33:42.770818,"2, 4263.956,-27.738,4232.614,-28.394"
2026-07-02T10:33:42.837823,"3, 4060.620,-23.618,4117.355,-23.359"
2026-07-02T10:33:42.837823,"4, 3966.294,-19.757,3972.558,-19.975"
2026-07-02T10:33:42.837823,"5, 3908.646,-16.745,3901.695,-16.988"
2026-07-02T10:33:42.838824,"6, 3912.450,-14.778,3901.181,-15.438"
2026-07-02T10:33:42.838824,"7, 3854.946,-13.351,3851.418,-13.771"
2026-07-02T10:33:42.838824,"8, 3813.702,-11.566,3839.803,-12.99"
2026-07-02T10:33:42.839824,"9, 3757.397,-10.773,3784.390,-11.557"
2026-07-02T10:33:42.839824,"10, 3809.296,-9.91,3812.641,-9.848"
2026-07-02T10:33:42.939346,"11, 3778.494,-8.325,3782.805,-9.204"
2026-07-02T10:33:42.940345,"12, 3778.873,-7.36,3766.764,-7.990"
2026-07-02T10:33:42.940345,"13, 3770.467,-5.571,3766.957,-7.143"
2026-07-02T10:33:42.940345,"14, 3738.790,-4.764,3742.175,-6.344"
2026-07-02T10:33:43.095949,"0, 5324.511,-47.31,5423.563,-48.9"
2026-07-02T10:33:43.095949,"1, 4467.812,-37.483,4475.165,-36.365"
2026-07-02T10:33:43.095949,"2, 4103.585,-29.911,4232.485,-28.395"
2026-07-02T10:33:43.096951,"3, 3973.71,-24.854,4117.211,-23.361"
2026-07-02T10:33:43.163472,"4, 3856.574,-20.271,3972.442,-19.975"
2026-07-02T10:33:43.163472,"5, 3806.676,-18.325,3901.600,-16.989"
2026-07-02T10:33:43.164477,"6, 3747.987,-16.397,3901.28,-15.439"
2026-07-02T10:33:43.164477,"7, 3742.767,-14.613,3851.310,-13.772"
2026-07-02T10:33:43.164477,"8, 3732.238,-13.572,3839.696,-12.101"
2026-07-02T10:33:43.164477,"9, 3755.313,-12.227,3784.361,-11.558"
2026-07-02T10:33:43.165473,"10, 3682.486,-11.150,3812.511,-9.849"
2026-07-02T10:33:43.165473,"11, 3660.579,-10.632,3782.683,-9.205"
2026-07-02T10:33:43.265991,"12, 3642.297,-9.760,3766.640,-7.992"
2026-07-02T10:33:43.266991,"13, 3625.682,-9.261,3766.816,-7.145"
2026-07-02T10:33:43.266991,"14, 3684.79,-8.934,3742.117,-6.347"
2026-07-02T10:33:43.422511,"0, 5336.725,-46.977,5423.477,-48.8"
2026-07-02T10:33:43.423511,"1, 4418.621,-34.705,4475.108,-36.363"
2026-07-02T10:33:43.423511,"2, 4149.514,-28.121,4232.402,-28.395"
2026-07-02T10:33:43.489041,"3, 3997.4,-22.651,4117.91,-23.360"
2026-07-02T10:33:43.490040,"4, 3901.641,-18.788,3972.371,-19.974"
2026-07-02T10:33:43.490040,"5, 3797.339,-16.824,3901.496,-16.989"
2026-07-02T10:33:43.490040,"6, 3758.918,-14.792,3900.885,-15.439"
2026-07-02T10:33:43.490040,"7, 3749.824,-12.571,3851.208,-13.771"
2026-07-02T10:33:43.491040,"8, 3720.258,-11.205,3839.576,-12.100"
2026-07-02T10:33:43.491040,"9, 3735.218,-9.903,3784.312,-11.556"
2026-07-02T10:33:43.491040,"10, 3703.948,-8.259,3812.402,-9.848"
2026-07-02T10:33:43.539051,"11, 3678.757,-7.452,3782.579,-9.204"
2026-07-02T10:33:43.540047,"12, 3665.256,-6.137,3766.539,-7.990"
2026-07-02T10:33:43.540047,"13, 3644.398,-5.194,3766.693,-7.143"
2026-07-02T10:33:43.540047,"14, 3687.392,-4.330,3742.62,-6.345"
2026-07-02T10:33:43.753219,"0, 5484.799,-46.934,5423.538,-48.7"
2026-07-02T10:33:43.753219,"1, 4570.697,-34.954,4475.204,-36.361"
2026-07-02T10:33:43.754220,"2, 4238.650,-28.78,4232.408,-28.395"
2026-07-02T10:33:43.822221,"3, 4051.296,-22.847,4117.25,-23.359"
2026-07-02T10:33:43.822221,"4, 3962.896,-20.143,3972.361,-19.974"
2026-07-02T10:33:43.823221,"5, 3920.966,-16.540,3901.515,-16.988"
2026-07-02T10:33:43.823221,"6, 3902.489,-15.112,3900.887,-15.438"
