timestamp,data
2026-07-02T11:09:53.170045,Project Codename: ColorfulFlower v1.1
2026-07-02T11:09:53.170045,Authors: Bilel Ben Atitallah & Ahmed Yahia Kallel
2026-07-02T11:09:53.171044,"Starting DAC, TIM3, DMA"
2026-07-02T11:09:53.180044,Calibrating ADCs
2026-07-02T11:09:53.180044,"Starting ADC1/2, TIM2, DMA"
2026-07-02T11:09:53.180044,Forwarding to main loop...
2026-07-02T11:09:53.500300,"0, 1858.719,-77.922,1858.719,-77.922"
2026-07-02T11:09:53.501300,"1, 1279.521,-71.371,1279.521,-71.371"
2026-07-02T11:09:53.564831,"2, 1011.249,-66.461,1011.249,-66.461"
2026-07-02T11:09:53.564831,"3, 848.581,-62.138,848.581,-62.138"
2026-07-02T11:09:53.564831,"4, 740.272,-58.345,740.272,-58.345"
2026-07-02T11:09:53.565832,"5, 661.582,-53.801,661.582,-53.801"
2026-07-02T11:09:53.609836,"6, 614.995,-50.984,614.995,-50.984"
2026-07-02T11:09:53.610839,"7, 566.478,-47.757,566.478,-47.757"
2026-07-02T11:09:53.610839,"8, 536.116,-44.810,536.116,-44.810"
2026-07-02T11:09:53.675356,"9, 501.104,-42.356,501.104,-42.356"
2026-07-02T11:09:53.676357,"10, 477.551,-38.543,477.551,-38.543"
2026-07-02T11:09:53.676357,"11, 460.618,-35.767,460.618,-35.767"
2026-07-02T11:09:53.676357,"12, 451.513,-31.783,451.513,-31.783"
2026-07-02T11:09:53.718367,"13, 433.128,-28.669,433.128,-28.669"
2026-07-02T11:09:53.718367,"14, 411.180,-25.622,411.180,-25.622"
2026-07-02T11:09:53.823405,"0, 1872.890,-79.315,1858.734,-77.924"
2026-07-02T11:09:53.825407,"1, 1271.978,-73.458,1279.514,-71.373"
2026-07-02T11:09:53.838407,"2, 1015.322,-69.798,1011.253,-66.464"
2026-07-02T11:09:53.838407,"3, 824.927,-65.357,848.558,-62.141"
2026-07-02T11:09:53.839407,"4, 724.834,-60.940,740.257,-58.347"
2026-07-02T11:09:53.839407,"5, 642.571,-57.771,661.563,-53.805"
2026-07-02T11:09:53.839407,"6, 599.934,-54.486,614.980,-50.987"
2026-07-02T11:09:53.839407,"7, 548.906,-51.539,566.460,-47.761"
2026-07-02T11:09:53.840410,"8, 513.168,-48.746,536.93,-44.814"
2026-07-02T11:09:53.840410,"9, 481.233,-45.261,501.84,-42.359"
2026-07-02T11:09:53.894407,"10, 453.884,-41.977,477.527,-38.546"
2026-07-02T11:09:54.004936,"11, 436.650,-39.465,460.594,-35.771"
2026-07-02T11:09:54.004936,"12, 414.684,-35.518,451.477,-31.786"
