timestamp,data
2026-07-02T10:51:24.327685,Project Codename: ColorfulFlower v1.1
2026-07-02T10:51:24.328691,Authors: Bilel Ben Atitallah & Ahmed Yahia Kallel
2026-07-02T10:51:24.328691,"Starting DAC, TIM3, DMA"
2026-07-02T10:51:24.380691,Calibrating ADCs
2026-07-02T10:51:24.428206,"Starting ADC1/2, TIM2, DMA"
2026-07-02T10:51:24.428206,Forwarding to main loop...
2026-07-02T10:51:24.651194,"0, 16769.814,-86.544,16769.814,-86.544"
2026-07-02T10:51:24.652194,"1, 10893.715,-77.31,10893.715,-77.31"
2026-07-02T10:51:24.652194,"2, 9009.260,-72.473,9009.260,-72.473"
2026-07-02T10:51:24.660194,"3, 7600.145,-68.0,7600.145,-68.0"
2026-07-02T10:51:24.662195,"4, 6444.105,-62.658,6444.105,-62.658"
2026-07-02T10:51:24.662195,"5, 5809.873,-58.702,5809.873,-58.702"
2026-07-02T10:51:24.662195,"6, 5275.32,-55.383,5275.32,-55.383"
2026-07-02T10:51:24.716403,"7, 4921.319,-51.512,4921.319,-51.512"
2026-07-02T10:51:24.717403,"8, 4642.245,-48.342,4642.245,-48.342"
2026-07-02T10:51:24.767409,"9, 4356.880,-45.862,4356.880,-45.862"
2026-07-02T10:51:24.767409,"10, 4071.284,-40.879,4071.284,-40.879"
2026-07-02T10:51:24.768410,"11, 3958.813,-38.704,3958.813,-38.704"
2026-07-02T10:51:24.768410,"12, 3785.562,-35.210,3785.562,-35.210"
2026-07-02T10:51:24.768410,"13, 3648.734,-31.687,3648.734,-31.687"
2026-07-02T10:51:24.768410,"14, 3541.411,-29.548,3541.411,-29.548"
2026-07-02T10:51:24.977591,"0, 16626.369,-81.6,16769.671,-86.538"
2026-07-02T10:51:24.979591,"1, 12154.997,-78.381,10894.977,-77.32"
2026-07-02T10:51:24.990901,"2, 8841.262,-70.541,9009.92,-72.472"
2026-07-02T10:51:24.990901,"3, 7429.10,-65.847,7599.974,-67.998"
2026-07-02T10:51:24.990901,"4, 6516.121,-61.667,6444.177,-62.657"
2026-07-02T10:51:24.990901,"5, 5730.748,-58.373,5809.793,-58.701"
