timestamp,data
2026-07-02T14:10:47.812085,Project Codename: ColorfulFlower v1.1
2026-07-02T14:10:47.812085,Authors: Bilel Ben Atitallah & Ahmed Yahia Kallel
2026-07-02T14:10:47.922684,"Starting DAC, TIM3, DMA"
2026-07-02T14:10:47.922684,Calibrating ADCs
2026-07-02T14:10:47.923684,"Starting ADC1/2, TIM2, DMA"
2026-07-02T14:10:47.923684,Forwarding to main loop...
2026-07-02T14:10:48.025201,"0, 139435.593,-147.190,139435.593,-147.190"
2026-07-02T14:10:48.025201,"1, 170791.421,-105.270,170791.421,-105.270"
2026-07-02T14:10:48.140234,"2, 176258.484,-169.836,176258.484,-169.836"
2026-07-02T14:10:48.140234,"3, 135388.687,169.689,135388.687,169.689"
2026-07-02T14:10:48.140234,"4, 215221.218,176.168,215221.218,176.168"
2026-07-02T14:10:48.141234,"5, 196589.843,175.297,196589.843,175.297"
2026-07-02T14:10:48.141234,"6, 171606.546,-163.614,171606.546,-163.614"
2026-07-02T14:10:48.141234,"7, 170654.515,-171.446,170654.515,-171.446"
2026-07-02T14:10:48.243760,"8, 208725.359,-163.435,208725.359,-163.435"
2026-07-02T14:10:48.243760,"9, 196887.93,-158.626,196887.93,-158.626"
2026-07-02T14:10:48.244758,"10, 177338.890,-168.84,177338.890,-168.84"
2026-07-02T14:10:48.357272,"11, 214331.953,-157.760,214331.953,-157.760"
2026-07-02T14:10:48.357272,"12, 208354.593,-161.634,208354.593,-161.634"
2026-07-02T14:10:48.358270,"13, 172625.78,-160.782,172625.78,-160.782"
2026-07-02T14:10:48.358270,"14, 177898.859,-152.673,177898.859,-152.673"
2026-07-02T14:10:48.358270,"0, 1171894.875,98.622,140468.31,-146.944"
2026-07-02T14:10:48.360271,"1, 163993.812,-45.572,170784.609,-105.210"
2026-07-02T14:10:48.464791,"2, 1542996.750,130.869,177625.218,-169.535"
2026-07-02T14:10:48.464791,"3, 441958.31,-108.930,135695.250,169.411"
2026-07-02T14:10:48.579335,"4, 333872.593,47.278,215339.875,176.39"
2026-07-02T14:10:48.579335,"5, 700793.187,-26.154,197094.31,175.96"
